#,wappen,Club,Club.1,League,"Value Mar 15, 2024",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Paris Saint-Germain,Ligue 1,€1.03bn,€923.50m,-10.4 %,,,
2.0,,AS Monaco,Ligue 1,€333.20m,€399.20m,19.8 %,,,
3.0,,LOSC Lille,Ligue 1,€221.00m,€318.35m,44.0 %,,,
4.0,,Olympique Marseille,Ligue 1,€237.75m,€285.30m,20.0 %,,,
5.0,,Olympique Lyon,Ligue 1,€236.30m,€226.93m,-4.0 %,,,
6.0,,RC Strasbourg Alsace,Ligue 1,€123.55m,€222.50m,80.1 %,,,
7.0,,OGC Nice,Ligue 1,€260.50m,€215.75m,-17.2 %,,,
8.0,,Stade Rennais FC,Ligue 1,€262.30m,€213.60m,-18.6 %,,,
9.0,,RC Lens,Ligue 1,€199.65m,€126.80m,-36.5 %,,,
10.0,,Stade Brestois 29,Ligue 1,€79.35m,€115.00m,44.9 %,,,
11.0,,Stade Reims,Ligue 1,€113.75m,€109.20m,-4.0 %,,,
12.0,,FC Nantes,Ligue 1,€89.25m,€103.50m,16.0 %,,,
13.0,,FC Toulouse,Ligue 1,€85.15m,€94.75m,11.3 %,,,
14.0,,AJ Auxerre,Ligue 2,€27.35m,€72.20m,164.0 %,,,
15.0,,Le Havre AC,Ligue 1,€56.10m,€65.15m,16.1 %,,,
16.0,,AS Saint-Étienne,Ligue 2,€32.25m,€57.40m,78.0 %,,,
17.0,,Montpellier HSC,Ligue 1,€98.30m,€55.75m,-43.3 %,,,
18.0,,Angers SCO,Ligue 2,€22.70m,€48.75m,114.8 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€3.51bn,€3.65bn,4.1 %
