#,wappen,Club,Club.1,League,"Value Mar 15, 2014",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Manchester City,Premier League,€451.00m,€1.31bn,189.4 %,,,
2.0,,Arsenal FC,Premier League,€371.00m,€1.13bn,203.8 %,,,
3.0,,Liverpool FC,Premier League,€282.00m,€993.50m,252.3 %,,,
4.0,,Chelsea FC,Premier League,€388.75m,€922.00m,137.2 %,,,
5.0,,Tottenham Hotspur,Premier League,€271.00m,€836.10m,208.5 %,,,
6.0,,Manchester United,Premier League,€378.50m,€699.25m,84.7 %,,,
7.0,,Newcastle United,Premier League,€143.00m,€635.00m,344.1 %,,,
8.0,,Aston Villa,Premier League,€99.50m,€627.50m,530.7 %,,,
9.0,,Brighton & Hove Albion,Championship,€22.10m,€555.60m,2414.0 %,,,
10.0,,West Ham United,Premier League,€99.25m,€454.30m,357.7 %,,,
11.0,,Nottingham Forest,Championship,€35.70m,€447.18m,1152.6 %,,,
12.0,,Crystal Palace,Premier League,€57.50m,€441.00m,667.0 %,,,
13.0,,AFC Bournemouth,Championship,€14.55m,€435.35m,2892.1 %,,,
14.0,,Brentford FC,League One,€6.68m,€417.10m,6148.7 %,,,
15.0,,Wolverhampton Wanderers,League One,€15.98m,€408.80m,2459.0 %,,,
16.0,,Everton FC,Premier League,€172.25m,€365.10m,112.0 %,,,
17.0,,Fulham FC,Premier League,€80.00m,€362.00m,352.5 %,,,
18.0,,Ipswich Town,Championship,€15.08m,€279.60m,1754.7 %,,,
19.0,,Southampton FC,Premier League,€111.75m,€273.60m,144.8 %,,,
20.0,,Leicester City,Championship,€29.20m,€273.30m,836.0 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€3.04bn,€11.86bn,289.5 %
