#,wappen,Club,Club.1,League,"Value Mar 15, 2015",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Paris Saint-Germain,Ligue 1,€370.90m,€923.50m,149.0 %,,,
2.0,,AS Monaco,Ligue 1,€121.20m,€399.20m,229.4 %,,,
3.0,,LOSC Lille,Ligue 1,€68.65m,€318.35m,363.7 %,,,
4.0,,Olympique Marseille,Ligue 1,€130.25m,€285.30m,119.0 %,,,
5.0,,Olympique Lyon,Ligue 1,€117.55m,€226.93m,93.0 %,,,
6.0,,RC Strasbourg Alsace,,€5.95m,€222.50m,3639.5 %,,,
7.0,,OGC Nice,Ligue 1,€46.75m,€215.75m,361.5 %,,,
8.0,,Stade Rennais FC,Ligue 1,€62.40m,€213.60m,242.3 %,,,
9.0,,RC Lens,Ligue 1,€25.60m,€126.80m,395.3 %,,,
10.0,,Stade Brestois 29,Ligue 2,€19.10m,€115.00m,502.1 %,,,
11.0,,Stade Reims,Ligue 1,€37.15m,€109.20m,193.9 %,,,
12.0,,FC Nantes,Ligue 1,€41.00m,€103.50m,152.4 %,,,
13.0,,FC Toulouse,Ligue 1,€52.10m,€94.75m,81.9 %,,,
14.0,,AJ Auxerre,Ligue 2,€11.70m,€72.20m,517.1 %,,,
15.0,,Le Havre AC,Ligue 2,€9.80m,€65.15m,564.8 %,,,
16.0,,AS Saint-Étienne,Ligue 1,€81.50m,€57.40m,-29.6 %,,,
17.0,,Montpellier HSC,Ligue 1,€37.40m,€55.75m,49.1 %,,,
18.0,,Angers SCO,Ligue 2,€11.70m,€48.75m,316.7 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€1.25bn,€3.65bn,192.1 %
