#,wappen,Club,Club.1,League,"Value Mar 15, 2023",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Paris Saint-Germain,Ligue 1,€889.05m,€923.50m,3.9 %,,,
2.0,,AS Monaco,Ligue 1,€306.40m,€399.20m,30.3 %,,,
3.0,,LOSC Lille,Ligue 1,€185.70m,€318.35m,71.4 %,,,
4.0,,Olympique Marseille,Ligue 1,€241.20m,€285.30m,18.3 %,,,
5.0,,Olympique Lyon,Ligue 1,€199.80m,€226.93m,13.6 %,,,
6.0,,RC Strasbourg Alsace,Ligue 1,€92.30m,€222.50m,141.1 %,,,
7.0,,OGC Nice,Ligue 1,€202.80m,€215.75m,6.4 %,,,
8.0,,Stade Rennais FC,Ligue 1,€319.50m,€213.60m,-33.1 %,,,
9.0,,RC Lens,Ligue 1,€168.30m,€126.80m,-24.7 %,,,
10.0,,Stade Brestois 29,Ligue 1,€72.30m,€115.00m,59.1 %,,,
11.0,,Stade Reims,Ligue 1,€70.20m,€109.20m,55.6 %,,,
12.0,,FC Nantes,Ligue 1,€118.30m,€103.50m,-12.5 %,,,
13.0,,FC Toulouse,Ligue 1,€61.35m,€94.75m,54.4 %,,,
14.0,,AJ Auxerre,Ligue 1,€49.20m,€72.20m,46.7 %,,,
15.0,,Le Havre AC,Ligue 2,€24.20m,€65.15m,169.2 %,,,
16.0,,AS Saint-Étienne,Ligue 2,€40.50m,€57.40m,41.7 %,,,
17.0,,Montpellier HSC,Ligue 1,€103.90m,€55.75m,-46.3 %,,,
18.0,,Angers SCO,Ligue 1,€55.00m,€48.75m,-11.4 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€3.20bn,€3.65bn,14.2 %
