#,wappen,Club,Club.1,League,"Value Mar 15, 2016",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Paris Saint-Germain,Ligue 1,€414.75m,€923.50m,122.7 %,,,
2.0,,AS Monaco,Ligue 1,€145.85m,€399.20m,173.7 %,,,
3.0,,LOSC Lille,Ligue 1,€64.45m,€318.35m,393.9 %,,,
4.0,,Olympique Marseille,Ligue 1,€127.00m,€285.30m,124.6 %,,,
5.0,,Olympique Lyon,Ligue 1,€149.15m,€226.93m,52.1 %,,,
6.0,,RC Strasbourg Alsace,,€3.95m,€222.50m,5532.9 %,,,
7.0,,OGC Nice,Ligue 1,€61.00m,€215.75m,253.7 %,,,
8.0,,Stade Rennais FC,Ligue 1,€69.15m,€213.60m,208.9 %,,,
9.0,,RC Lens,Ligue 2,€18.05m,€126.80m,602.5 %,,,
10.0,,Stade Brestois 29,Ligue 2,€12.00m,€115.00m,858.3 %,,,
11.0,,Stade Reims,Ligue 1,€42.40m,€109.20m,157.5 %,,,
12.0,,FC Nantes,Ligue 1,€34.55m,€103.50m,199.6 %,,,
13.0,,FC Toulouse,Ligue 1,€41.35m,€94.75m,129.1 %,,,
14.0,,AJ Auxerre,Ligue 2,€12.55m,€72.20m,475.3 %,,,
15.0,,Le Havre AC,Ligue 2,€11.85m,€65.15m,449.8 %,,,
16.0,,AS Saint-Étienne,Ligue 1,€83.10m,€57.40m,-30.9 %,,,
17.0,,Montpellier HSC,Ligue 1,€39.45m,€55.75m,41.3 %,,,
18.0,,Angers SCO,Ligue 1,€29.10m,€48.75m,67.5 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€1.36bn,€3.65bn,168.7 %
