#,wappen,Club,Club.1,League,"Value Mar 15, 2012",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Bayern Munich,Bundesliga,€359.95m,€859.00m,138.6 %,,,
2.0,,Bayer 04 Leverkusen,Bundesliga,€140.45m,€644.05m,358.6 %,,,
3.0,,RB Leipzig,RL Nord,€6.28m,€510.75m,8039.4 %,,,
4.0,,Borussia Dortmund,Bundesliga,€191.25m,€436.40m,128.2 %,,,
5.0,,VfB Stuttgart,Bundesliga,€98.00m,€330.23m,237.0 %,,,
6.0,,Eintracht Frankfurt,2. Bundesliga,€34.15m,€323.05m,846.0 %,,,
7.0,,VfL Wolfsburg,Bundesliga,€99.65m,€252.00m,152.9 %,,,
8.0,,TSG 1899 Hoffenheim,Bundesliga,€71.08m,€172.75m,143.1 %,,,
9.0,,SC Freiburg,Bundesliga,€37.35m,€165.85m,344.0 %,,,
10.0,,1.FSV Mainz 05,Bundesliga,€51.00m,€152.60m,199.2 %,,,
11.0,,Borussia Mönchengladbach,Bundesliga,€77.10m,€147.40m,91.2 %,,,
12.0,,SV Werder Bremen,Bundesliga,€91.45m,€126.15m,37.9 %,,,
13.0,,FC Augsburg,Bundesliga,€36.45m,€119.13m,226.8 %,,,
14.0,,1.FC Union Berlin,2. Bundesliga,€11.50m,€113.18m,884.1 %,,,
15.0,,1.FC Heidenheim 1846,3. Liga,€6.85m,€66.78m,874.8 %,,,
16.0,,FC St. Pauli,2. Bundesliga,€22.13m,€61.03m,175.8 %,,,
17.0,,VfL Bochum,2. Bundesliga,€17.20m,€59.45m,245.6 %,,,
18.0,,Holstein Kiel,RL Nord,€3.55m,€46.63m,1213.4 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€1.36bn,€4.59bn,238.4 %
