#,wappen,Club,Club.1,League,"Value Mar 15, 2012",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Paris Saint-Germain,Ligue 1,€206.60m,€923.50m,347.0 %,,,
2.0,,AS Monaco,Ligue 2,€35.65m,€399.20m,1019.8 %,,,
3.0,,LOSC Lille,Ligue 1,€119.75m,€318.35m,165.8 %,,,
4.0,,Olympique Marseille,Ligue 1,€140.65m,€285.30m,102.8 %,,,
5.0,,Olympique Lyon,Ligue 1,€152.20m,€226.93m,49.1 %,,,
6.0,,RC Strasbourg Alsace,Coupe de France,€50k,€222.50m,444900.0 %,,,
7.0,,OGC Nice,Ligue 1,€49.10m,€215.75m,339.4 %,,,
8.0,,Stade Rennais FC,Ligue 1,€95.55m,€213.60m,123.5 %,,,
9.0,,RC Lens,Ligue 2,€18.60m,€126.80m,581.7 %,,,
10.0,,Stade Brestois 29,Ligue 1,€37.05m,€115.00m,210.4 %,,,
11.0,,Stade Reims,Ligue 2,€11.20m,€109.20m,875.0 %,,,
12.0,,FC Nantes,Ligue 2,€15.00m,€103.50m,590.0 %,,,
13.0,,FC Toulouse,Ligue 1,€78.25m,€94.75m,21.1 %,,,
14.0,,AJ Auxerre,Ligue 1,€52.60m,€72.20m,37.3 %,,,
15.0,,Le Havre AC,Ligue 2,€16.50m,€65.15m,294.8 %,,,
16.0,,AS Saint-Étienne,Ligue 1,€66.35m,€57.40m,-13.5 %,,,
17.0,,Montpellier HSC,Ligue 1,€63.95m,€55.75m,-12.8 %,,,
18.0,,Angers SCO,Ligue 2,€10.25m,€48.75m,375.6 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€1.17bn,€3.65bn,212.5 %
