#,wappen,Club,Club.1,League,"Value Mar 15, 2012",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Real Madrid,LaLiga,€542.00m,€1.27bn,134.7 %,,,
2.0,,FC Barcelona,LaLiga,€579.00m,€1.02bn,76.0 %,,,
3.0,,Atlético de Madrid,LaLiga,€173.00m,€515.80m,198.2 %,,,
4.0,,Real Sociedad,LaLiga,€65.20m,€383.80m,488.7 %,,,
5.0,,Athletic Bilbao,LaLiga,€128.00m,€367.00m,186.7 %,,,
6.0,,Villarreal CF,LaLiga,€142.60m,€218.60m,53.3 %,,,
7.0,,Valencia CF,LaLiga,€180.00m,€214.90m,19.4 %,,,
8.0,,Girona FC,LaLiga2,€17.00m,€180.70m,962.9 %,,,
9.0,,Sevilla FC,LaLiga,€117.70m,€174.50m,48.3 %,,,
10.0,,Real Betis Balompié,LaLiga,€49.00m,€173.10m,253.3 %,,,
11.0,,UD Las Palmas,LaLiga2,€14.80m,€125.30m,746.6 %,,,
12.0,,CA Osasuna,LaLiga,€44.40m,€109.00m,145.5 %,,,
13.0,,Celta de Vigo,LaLiga2,€18.80m,€94.90m,404.8 %,,,
14.0,,RCD Espanyol Barcelona,LaLiga,€71.90m,€90.60m,26.0 %,,,
15.0,,RCD Mallorca,LaLiga,€55.20m,€82.20m,48.9 %,,,
16.0,,Getafe CF,LaLiga,€66.60m,€76.80m,15.3 %,,,
17.0,,Deportivo Alavés,Copa del Rey,€1.15m,€73.00m,6247.8 %,,,
18.0,,Rayo Vallecano,LaLiga,€37.80m,€67.90m,79.6 %,,,
19.0,,Real Valladolid CF,LaLiga2,€24.40m,€43.30m,77.5 %,,,
20.0,,CD Leganés,Copa del Rey,-,€40.40m,-,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€2.33bn,€5.32bn,128.6 %
