#,wappen,Club,Club.1,League,"Value Mar 15, 2024",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Real Madrid,LaLiga,€1.04bn,€1.27bn,22.5 %,,,
2.0,,FC Barcelona,LaLiga,€863.50m,€1.02bn,18.0 %,,,
3.0,,Atlético de Madrid,LaLiga,€454.40m,€515.80m,13.5 %,,,
4.0,,Real Sociedad,LaLiga,€487.60m,€383.80m,-21.3 %,,,
5.0,,Athletic Bilbao,LaLiga,€242.60m,€367.00m,51.3 %,,,
6.0,,Villarreal CF,LaLiga,€216.60m,€218.60m,0.9 %,,,
7.0,,Valencia CF,LaLiga,€197.05m,€214.90m,9.1 %,,,
8.0,,Girona FC,LaLiga,€223.30m,€180.70m,-19.1 %,,,
9.0,,Sevilla FC,LaLiga,€193.40m,€174.50m,-9.8 %,,,
10.0,,Real Betis Balompié,LaLiga,€202.10m,€173.10m,-14.3 %,,,
11.0,,UD Las Palmas,LaLiga,€73.90m,€125.30m,69.6 %,,,
12.0,,CA Osasuna,LaLiga,€99.80m,€109.00m,9.2 %,,,
13.0,,Celta de Vigo,LaLiga,€112.30m,€94.90m,-15.5 %,,,
14.0,,RCD Espanyol Barcelona,LaLiga2,€57.65m,€90.60m,57.2 %,,,
15.0,,RCD Mallorca,LaLiga,€90.90m,€82.20m,-9.6 %,,,
16.0,,Getafe CF,LaLiga,€89.65m,€76.80m,-14.3 %,,,
17.0,,Deportivo Alavés,LaLiga,€70.10m,€73.00m,4.1 %,,,
18.0,,Rayo Vallecano,LaLiga,€79.80m,€67.90m,-14.9 %,,,
19.0,,Real Valladolid CF,LaLiga2,€41.35m,€43.30m,4.7 %,,,
20.0,,CD Leganés,LaLiga2,€23.15m,€40.40m,74.5 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€4.86bn,€5.32bn,9.6 %
