#,wappen,Club,Club.1,League,"Value Mar 15, 2014",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Inter Milan,Serie A,€226.90m,€663.80m,192.6 %,,,
2.0,,Juventus FC,Serie A,€353.30m,€623.20m,76.4 %,,,
3.0,,AC Milan,Serie A,€228.00m,€523.50m,129.6 %,,,
4.0,,Atalanta BC,Serie A,€59.85m,€478.60m,699.7 %,,,
5.0,,SSC Napoli,Serie A,€259.65m,€355.55m,36.9 %,,,
6.0,,AS Roma,Serie A,€188.70m,€304.00m,61.1 %,,,
7.0,,SS Lazio,Serie A,€126.80m,€290.60m,129.2 %,,,
8.0,,Bologna FC 1909,Serie A,€43.90m,€286.30m,552.2 %,,,
9.0,,ACF Fiorentina,Serie A,€201.65m,€281.80m,39.7 %,,,
10.0,,Torino FC,Serie A,€66.00m,€191.10m,189.5 %,,,
11.0,,Como 1907,Serie C - A,€3.98m,€176.05m,4328.9 %,,,
12.0,,Genoa CFC,Serie A,€72.13m,€157.35m,118.2 %,,,
13.0,,Udinese Calcio,Serie A,€96.65m,€154.50m,59.9 %,,,
14.0,,Parma Calcio 1913,Serie A,€70.70m,€153.30m,116.8 %,,,
15.0,,FC Empoli,Serie B,€15.53m,€96.10m,519.0 %,,,
16.0,,Hellas Verona,Serie A,€48.30m,€86.45m,79.0 %,,,
17.0,,AC Monza,Coppa Italia,€3.18m,€84.73m,2568.5 %,,,
18.0,,Cagliari Calcio,Serie A,€57.65m,€78.90m,36.9 %,,,
19.0,,US Lecce,Serie C - B,€5.85m,€77.08m,1217.5 %,,,
20.0,,Venezia FC,Serie C - A,€5.23m,€76.50m,1364.1 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€2.13bn,€5.14bn,140.8 %
