#,wappen,Club,Club.1,League,"Value Mar 15, 2013",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Real Madrid,LaLiga,€605.50m,€1.27bn,110.1 %,,,
2.0,,FC Barcelona,LaLiga,€603.80m,€1.02bn,68.8 %,,,
3.0,,Atlético de Madrid,LaLiga,€239.00m,€515.80m,115.8 %,,,
4.0,,Real Sociedad,LaLiga,€87.20m,€383.80m,340.1 %,,,
5.0,,Athletic Bilbao,LaLiga,€126.80m,€367.00m,189.4 %,,,
6.0,,Villarreal CF,LaLiga2,€39.50m,€218.60m,453.4 %,,,
7.0,,Valencia CF,LaLiga,€159.70m,€214.90m,34.6 %,,,
8.0,,Girona FC,LaLiga2,€12.50m,€180.70m,1345.6 %,,,
9.0,,Sevilla FC,LaLiga,€124.10m,€174.50m,40.6 %,,,
10.0,,Real Betis Balompié,LaLiga,€52.90m,€173.10m,227.2 %,,,
11.0,,UD Las Palmas,LaLiga2,€14.30m,€125.30m,776.2 %,,,
12.0,,CA Osasuna,LaLiga,€44.40m,€109.00m,145.5 %,,,
13.0,,Celta de Vigo,LaLiga,€45.55m,€94.90m,108.3 %,,,
14.0,,RCD Espanyol Barcelona,LaLiga,€53.80m,€90.60m,68.4 %,,,
15.0,,RCD Mallorca,LaLiga,€53.70m,€82.20m,53.1 %,,,
16.0,,Getafe CF,LaLiga,€68.10m,€76.80m,12.8 %,,,
17.0,,Deportivo Alavés,2ª B - Grupo II,-,€73.00m,-,,,
18.0,,Rayo Vallecano,LaLiga,€43.80m,€67.90m,55.0 %,,,
19.0,,Real Valladolid CF,LaLiga,€36.50m,€43.30m,18.6 %,,,
20.0,,CD Leganés,2ª B - Grupo I,-,€40.40m,-,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€2.41bn,€5.32bn,120.8 %
