#,wappen,Club,Club.1,League,"Value Mar 15, 2011",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Real Madrid,LaLiga,€528.00m,€1.27bn,140.9 %,,,
2.0,,FC Barcelona,LaLiga,€541.60m,€1.02bn,88.1 %,,,
3.0,,Atlético de Madrid,LaLiga,€166.00m,€515.80m,210.7 %,,,
4.0,,Real Sociedad,LaLiga,€66.40m,€383.80m,478.0 %,,,
5.0,,Athletic Bilbao,LaLiga,€109.60m,€367.00m,234.9 %,,,
6.0,,Villarreal CF,LaLiga,€144.80m,€218.60m,51.0 %,,,
7.0,,Valencia CF,LaLiga,€164.60m,€214.90m,30.6 %,,,
8.0,,Girona FC,LaLiga2,€12.50m,€180.70m,1345.6 %,,,
9.0,,Sevilla FC,LaLiga,€155.10m,€174.50m,12.5 %,,,
10.0,,Real Betis Balompié,LaLiga2,€40.30m,€173.10m,329.5 %,,,
11.0,,UD Las Palmas,LaLiga2,€13.90m,€125.30m,801.4 %,,,
12.0,,CA Osasuna,LaLiga,€48.70m,€109.00m,123.8 %,,,
13.0,,Celta de Vigo,LaLiga2,€21.50m,€94.90m,341.4 %,,,
14.0,,RCD Espanyol Barcelona,LaLiga,€63.90m,€90.60m,41.8 %,,,
15.0,,RCD Mallorca,LaLiga,€49.90m,€82.20m,64.7 %,,,
16.0,,Getafe CF,LaLiga,€66.10m,€76.80m,16.2 %,,,
17.0,,Deportivo Alavés,,-,€73.00m,-,,,
18.0,,Rayo Vallecano,LaLiga2,€23.40m,€67.90m,190.2 %,,,
19.0,,Real Valladolid CF,LaLiga2,€26.40m,€43.30m,64.0 %,,,
20.0,,CD Leganés,,-,€40.40m,-,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€2.24bn,€5.32bn,137.3 %
