#,wappen,Club,Club.1,League,"Value Mar 15, 2023",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Real Madrid,LaLiga,€851.00m,€1.27bn,49.5 %,,,
2.0,,FC Barcelona,LaLiga,€762.00m,€1.02bn,33.7 %,,,
3.0,,Atlético de Madrid,LaLiga,€489.00m,€515.80m,5.5 %,,,
4.0,,Real Sociedad,LaLiga,€380.50m,€383.80m,0.9 %,,,
5.0,,Athletic Bilbao,LaLiga,€221.80m,€367.00m,65.5 %,,,
6.0,,Villarreal CF,LaLiga,€289.70m,€218.60m,-24.5 %,,,
7.0,,Valencia CF,LaLiga,€249.50m,€214.90m,-13.9 %,,,
8.0,,Girona FC,LaLiga,€114.70m,€180.70m,57.5 %,,,
9.0,,Sevilla FC,LaLiga,€240.00m,€174.50m,-27.3 %,,,
10.0,,Real Betis Balompié,LaLiga,€262.50m,€173.10m,-34.1 %,,,
11.0,,UD Las Palmas,LaLiga2,€26.30m,€125.30m,376.4 %,,,
12.0,,CA Osasuna,LaLiga,€124.20m,€109.00m,-12.2 %,,,
13.0,,Celta de Vigo,LaLiga,€125.50m,€94.90m,-24.4 %,,,
14.0,,RCD Espanyol Barcelona,LaLiga,€108.40m,€90.60m,-16.4 %,,,
15.0,,RCD Mallorca,LaLiga,€86.10m,€82.20m,-4.5 %,,,
16.0,,Getafe CF,LaLiga,€143.20m,€76.80m,-46.4 %,,,
17.0,,Deportivo Alavés,LaLiga2,€33.60m,€73.00m,117.3 %,,,
18.0,,Rayo Vallecano,LaLiga,€88.20m,€67.90m,-23.0 %,,,
19.0,,Real Valladolid CF,LaLiga,€67.80m,€43.30m,-36.1 %,,,
20.0,,CD Leganés,LaLiga2,€28.80m,€40.40m,40.3 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€4.69bn,€5.32bn,13.4 %
