#,wappen,Club,Club.1,League,"Value Mar 15, 2015",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Inter Milan,Serie A,€227.40m,€663.80m,191.9 %,,,
2.0,,Juventus FC,Serie A,€321.70m,€623.20m,93.7 %,,,
3.0,,AC Milan,Serie A,€220.90m,€523.50m,137.0 %,,,
4.0,,Atalanta BC,Serie A,€54.35m,€478.60m,780.6 %,,,
5.0,,SSC Napoli,Serie A,€251.25m,€355.55m,41.5 %,,,
6.0,,AS Roma,Serie A,€260.70m,€304.00m,16.6 %,,,
7.0,,SS Lazio,Serie A,€152.10m,€290.60m,91.1 %,,,
8.0,,Bologna FC 1909,Serie B,€29.88m,€286.30m,858.3 %,,,
9.0,,ACF Fiorentina,Serie A,€171.95m,€281.80m,63.9 %,,,
10.0,,Torino FC,Serie A,€57.70m,€191.10m,231.2 %,,,
11.0,,Como 1907,Serie C - A,€4.48m,€176.05m,3834.1 %,,,
12.0,,Genoa CFC,Serie A,€81.80m,€157.35m,92.4 %,,,
13.0,,Udinese Calcio,Serie A,€77.35m,€154.50m,99.7 %,,,
14.0,,Parma Calcio 1913,Serie A,€43.25m,€153.30m,254.5 %,,,
15.0,,FC Empoli,Serie A,€43.93m,€96.10m,118.8 %,,,
16.0,,Hellas Verona,Serie A,€38.45m,€86.45m,124.8 %,,,
17.0,,AC Monza,Serie C - A,€2.93m,€84.73m,2796.6 %,,,
18.0,,Cagliari Calcio,Serie A,€61.60m,€78.90m,28.1 %,,,
19.0,,US Lecce,Serie C - C,€3.93m,€77.08m,1863.7 %,,,
20.0,,Venezia FC,Serie C - A,€3.65m,€76.50m,1995.9 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€2.11bn,€5.14bn,143.7 %
