#,wappen,Club,Club.1,League,"Value Mar 15, 2018",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Manchester City,Premier League,€792.50m,€1.31bn,64.7 %,,,
2.0,,Arsenal FC,Premier League,€492.45m,€1.13bn,128.9 %,,,
3.0,,Liverpool FC,Premier League,€548.00m,€993.50m,81.3 %,,,
4.0,,Chelsea FC,Premier League,€695.75m,€922.00m,32.5 %,,,
5.0,,Tottenham Hotspur,Premier League,€706.00m,€836.10m,18.4 %,,,
6.0,,Manchester United,Premier League,€741.50m,€699.25m,-5.7 %,,,
7.0,,Newcastle United,Premier League,€157.15m,€635.00m,304.1 %,,,
8.0,,Aston Villa,Championship,€88.00m,€627.50m,613.1 %,,,
9.0,,Brighton & Hove Albion,Premier League,€116.00m,€555.60m,379.0 %,,,
10.0,,West Ham United,Premier League,€213.00m,€454.30m,113.3 %,,,
11.0,,Nottingham Forest,Championship,€50.85m,€447.18m,779.4 %,,,
12.0,,Crystal Palace,Premier League,€190.70m,€441.00m,131.3 %,,,
13.0,,AFC Bournemouth,Premier League,€113.50m,€435.35m,283.6 %,,,
14.0,,Brentford FC,Championship,€36.60m,€417.10m,1039.6 %,,,
15.0,,Wolverhampton Wanderers,Championship,€97.00m,€408.80m,321.4 %,,,
16.0,,Everton FC,Premier League,€343.00m,€365.10m,6.4 %,,,
17.0,,Fulham FC,Championship,€107.00m,€362.00m,238.3 %,,,
18.0,,Ipswich Town,Championship,€23.05m,€279.60m,1113.0 %,,,
19.0,,Southampton FC,Premier League,€233.60m,€273.60m,17.1 %,,,
20.0,,Leicester City,Premier League,€212.00m,€273.30m,28.9 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€5.96bn,€11.86bn,99.0 %
