#,wappen,Club,Club.1,League,"Value Mar 15, 2022",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Paris Saint-Germain,Ligue 1,€909.55m,€923.50m,1.5 %,,,
2.0,,AS Monaco,Ligue 1,€352.20m,€399.20m,13.3 %,,,
3.0,,LOSC Lille,Ligue 1,€239.30m,€318.35m,33.0 %,,,
4.0,,Olympique Marseille,Ligue 1,€250.35m,€285.30m,14.0 %,,,
5.0,,Olympique Lyon,Ligue 1,€316.05m,€226.93m,-28.2 %,,,
6.0,,RC Strasbourg Alsace,Ligue 1,€95.40m,€222.50m,133.2 %,,,
7.0,,OGC Nice,Ligue 1,€237.95m,€215.75m,-9.3 %,,,
8.0,,Stade Rennais FC,Ligue 1,€216.90m,€213.60m,-1.5 %,,,
9.0,,RC Lens,Ligue 1,€113.70m,€126.80m,11.5 %,,,
10.0,,Stade Brestois 29,Ligue 1,€76.85m,€115.00m,49.6 %,,,
11.0,,Stade Reims,Ligue 1,€99.00m,€109.20m,10.3 %,,,
12.0,,FC Nantes,Ligue 1,€89.50m,€103.50m,15.6 %,,,
13.0,,FC Toulouse,Ligue 2,€27.20m,€94.75m,248.3 %,,,
14.0,,AJ Auxerre,Ligue 2,€18.95m,€72.20m,281.0 %,,,
15.0,,Le Havre AC,Ligue 2,€20.45m,€65.15m,218.6 %,,,
16.0,,AS Saint-Étienne,Ligue 1,€106.90m,€57.40m,-46.3 %,,,
17.0,,Montpellier HSC,Ligue 1,€98.55m,€55.75m,-43.4 %,,,
18.0,,Angers SCO,Ligue 1,€61.05m,€48.75m,-20.1 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€3.33bn,€3.65bn,9.7 %
