#,wappen,Club,Club.1,League,"Value Mar 15, 2023",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Bayern Munich,Bundesliga,€995.70m,€859.00m,-13.7 %,,,
2.0,,Bayer 04 Leverkusen,Bundesliga,€416.35m,€644.05m,54.7 %,,,
3.0,,RB Leipzig,Bundesliga,€493.30m,€510.75m,3.5 %,,,
4.0,,Borussia Dortmund,Bundesliga,€522.70m,€436.40m,-16.5 %,,,
5.0,,VfB Stuttgart,Bundesliga,€123.35m,€330.23m,167.7 %,,,
6.0,,Eintracht Frankfurt,Bundesliga,€267.95m,€323.05m,20.6 %,,,
7.0,,VfL Wolfsburg,Bundesliga,€188.20m,€252.00m,33.9 %,,,
8.0,,TSG 1899 Hoffenheim,Bundesliga,€170.95m,€172.75m,1.1 %,,,
9.0,,SC Freiburg,Bundesliga,€161.63m,€165.85m,2.6 %,,,
10.0,,1.FSV Mainz 05,Bundesliga,€113.20m,€152.60m,34.8 %,,,
11.0,,Borussia Mönchengladbach,Bundesliga,€233.00m,€147.40m,-36.7 %,,,
12.0,,SV Werder Bremen,Bundesliga,€73.05m,€126.15m,72.7 %,,,
13.0,,FC Augsburg,Bundesliga,€111.15m,€119.13m,7.2 %,,,
14.0,,1.FC Union Berlin,Bundesliga,€117.90m,€113.18m,-4.0 %,,,
15.0,,1.FC Heidenheim 1846,2. Bundesliga,€18.15m,€66.78m,267.9 %,,,
16.0,,FC St. Pauli,2. Bundesliga,€24.00m,€61.03m,154.3 %,,,
17.0,,VfL Bochum,Bundesliga,€46.63m,€59.45m,27.5 %,,,
18.0,,Holstein Kiel,2. Bundesliga,€17.25m,€46.63m,170.3 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€4.09bn,€4.59bn,12.0 %
