#,wappen,Club,Club.1,League,"Value Mar 15, 2018",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Real Madrid,LaLiga,€858.50m,€1.27bn,48.2 %,,,
2.0,,FC Barcelona,LaLiga,€957.00m,€1.02bn,6.5 %,,,
3.0,,Atlético de Madrid,LaLiga,€587.00m,€515.80m,-12.1 %,,,
4.0,,Real Sociedad,LaLiga,€154.80m,€383.80m,147.9 %,,,
5.0,,Athletic Bilbao,LaLiga,€170.90m,€367.00m,114.7 %,,,
6.0,,Villarreal CF,LaLiga,€178.15m,€218.60m,22.7 %,,,
7.0,,Valencia CF,LaLiga,€312.00m,€214.90m,-31.1 %,,,
8.0,,Girona FC,LaLiga,€58.00m,€180.70m,211.6 %,,,
9.0,,Sevilla FC,LaLiga,€272.00m,€174.50m,-35.8 %,,,
10.0,,Real Betis Balompié,LaLiga,€97.80m,€173.10m,77.0 %,,,
11.0,,UD Las Palmas,LaLiga,€41.50m,€125.30m,201.9 %,,,
12.0,,CA Osasuna,LaLiga2,€20.40m,€109.00m,434.3 %,,,
13.0,,Celta de Vigo,LaLiga,€127.50m,€94.90m,-25.6 %,,,
14.0,,RCD Espanyol Barcelona,LaLiga,€80.90m,€90.60m,12.0 %,,,
15.0,,RCD Mallorca,2ª B - Grupo III,€7.15m,€82.20m,1049.7 %,,,
16.0,,Getafe CF,LaLiga,€47.35m,€76.80m,62.2 %,,,
17.0,,Deportivo Alavés,LaLiga,€52.70m,€73.00m,38.5 %,,,
18.0,,Rayo Vallecano,LaLiga2,€20.30m,€67.90m,234.5 %,,,
19.0,,Real Valladolid CF,LaLiga2,€18.40m,€43.30m,135.3 %,,,
20.0,,CD Leganés,LaLiga,€48.50m,€40.40m,-16.7 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€4.11bn,€5.32bn,29.5 %
