#,wappen,Club,Club.1,League,"Value Mar 15, 2020",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Inter Milan,Serie A,€685.40m,€663.80m,-3.2 %,,,
2.0,,Juventus FC,Serie A,€755.50m,€623.20m,-17.5 %,,,
3.0,,AC Milan,Serie A,€398.50m,€523.50m,31.4 %,,,
4.0,,Atalanta BC,Serie A,€331.60m,€478.60m,44.3 %,,,
5.0,,SSC Napoli,Serie A,€656.00m,€355.55m,-45.8 %,,,
6.0,,AS Roma,Serie A,€431.30m,€304.00m,-29.5 %,,,
7.0,,SS Lazio,Serie A,€372.65m,€290.60m,-22.0 %,,,
8.0,,Bologna FC 1909,Serie A,€142.13m,€286.30m,101.4 %,,,
9.0,,ACF Fiorentina,Serie A,€309.60m,€281.80m,-9.0 %,,,
10.0,,Torino FC,Serie A,€181.05m,€191.10m,5.6 %,,,
11.0,,Como 1907,Serie C - A,€3.62m,€176.05m,4763.3 %,,,
12.0,,Genoa CFC,Serie A,€125.80m,€157.35m,25.1 %,,,
13.0,,Udinese Calcio,Serie A,€124.50m,€154.50m,24.1 %,,,
14.0,,Parma Calcio 1913,Serie A,€151.10m,€153.30m,1.5 %,,,
15.0,,FC Empoli,Serie B,€35.25m,€96.10m,172.6 %,,,
16.0,,Hellas Verona,Serie A,€128.48m,€86.45m,-32.7 %,,,
17.0,,AC Monza,Serie C - A,€15.25m,€84.73m,455.6 %,,,
18.0,,Cagliari Calcio,Serie A,€186.10m,€78.90m,-57.6 %,,,
19.0,,US Lecce,Serie A,€54.55m,€77.08m,41.3 %,,,
20.0,,Venezia FC,Serie B,€11.85m,€76.50m,545.6 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€5.10bn,€5.14bn,0.8 %
