#,wappen,Club,Club.1,League,"Value Mar 15, 2011",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Manchester City,Premier League,€366.75m,€1.31bn,255.9 %,,,
2.0,,Arsenal FC,Premier League,€314.50m,€1.13bn,258.3 %,,,
3.0,,Liverpool FC,Premier League,€241.50m,€993.50m,311.4 %,,,
4.0,,Chelsea FC,Premier League,€408.50m,€922.00m,125.7 %,,,
5.0,,Tottenham Hotspur,Premier League,€283.00m,€836.10m,195.4 %,,,
6.0,,Manchester United,Premier League,€374.70m,€694.25m,85.3 %,,,
7.0,,Newcastle United,Premier League,€92.98m,€635.00m,583.0 %,,,
8.0,,Aston Villa,Premier League,€149.05m,€627.50m,321.0 %,,,
9.0,,Brighton & Hove Albion,League One,€6.53m,€555.60m,8414.9 %,,,
10.0,,West Ham United,Premier League,€124.00m,€454.30m,266.4 %,,,
11.0,,Nottingham Forest,Championship,€33.50m,€447.18m,1234.9 %,,,
12.0,,Crystal Palace,Championship,€20.13m,€441.00m,2091.3 %,,,
13.0,,AFC Bournemouth,League One,€4.15m,€435.35m,10390.4 %,,,
14.0,,Brentford FC,League One,€7.03m,€417.10m,5837.4 %,,,
15.0,,Wolverhampton Wanderers,Premier League,€74.05m,€408.80m,452.1 %,,,
16.0,,Everton FC,Premier League,€158.00m,€365.10m,131.1 %,,,
17.0,,Fulham FC,Premier League,€100.75m,€362.00m,259.3 %,,,
18.0,,Ipswich Town,Championship,€28.20m,€279.60m,891.5 %,,,
19.0,,Southampton FC,League One,€17.08m,€273.60m,1502.3 %,,,
20.0,,Leicester City,Championship,€37.80m,€273.30m,623.0 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€2.84bn,€11.85bn,317.1 %
