#,wappen,Club,Club.1,League,"Value Mar 15, 2016",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Manchester City,Premier League,€501.75m,€1.31bn,160.1 %,,,
2.0,,Arsenal FC,Premier League,€440.00m,€1.13bn,156.1 %,,,
3.0,,Liverpool FC,Premier League,€366.25m,€993.50m,171.3 %,,,
4.0,,Chelsea FC,Premier League,€490.00m,€922.00m,88.2 %,,,
5.0,,Tottenham Hotspur,Premier League,€312.50m,€836.10m,167.6 %,,,
6.0,,Manchester United,Premier League,€411.75m,€694.25m,68.6 %,,,
7.0,,Newcastle United,Premier League,€182.00m,€635.00m,248.9 %,,,
8.0,,Aston Villa,Premier League,€105.25m,€627.50m,496.2 %,,,
9.0,,Brighton & Hove Albion,Championship,€32.55m,€555.60m,1606.9 %,,,
10.0,,West Ham United,Premier League,€172.00m,€454.30m,164.1 %,,,
11.0,,Nottingham Forest,Championship,€39.20m,€447.18m,1040.8 %,,,
12.0,,Crystal Palace,Premier League,€125.75m,€441.00m,250.7 %,,,
13.0,,AFC Bournemouth,Premier League,€88.80m,€435.35m,390.3 %,,,
14.0,,Brentford FC,Championship,€20.83m,€417.10m,1902.9 %,,,
15.0,,Wolverhampton Wanderers,Championship,€25.20m,€408.80m,1522.2 %,,,
16.0,,Everton FC,Premier League,€234.00m,€365.10m,56.0 %,,,
17.0,,Fulham FC,Championship,€38.35m,€362.00m,843.9 %,,,
18.0,,Ipswich Town,Championship,€19.43m,€279.60m,1339.4 %,,,
19.0,,Southampton FC,Premier League,€206.75m,€273.60m,32.3 %,,,
20.0,,Leicester City,Premier League,€127.10m,€273.30m,115.0 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€3.94bn,€11.85bn,200.9 %
