#,wappen,Club,Club.1,League,"Value Mar 15, 2021",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Manchester City,Premier League,€1.06bn,€1.31bn,23.6 %,,,
2.0,,Arsenal FC,Premier League,€554.00m,€1.13bn,103.4 %,,,
3.0,,Liverpool FC,Premier League,€1.12bn,€993.50m,-11.7 %,,,
4.0,,Chelsea FC,Premier League,€803.50m,€922.00m,14.7 %,,,
5.0,,Tottenham Hotspur,Premier League,€719.65m,€836.10m,16.2 %,,,
6.0,,Manchester United,Premier League,€738.35m,€694.25m,-6.0 %,,,
7.0,,Newcastle United,Premier League,€278.70m,€635.00m,127.8 %,,,
8.0,,Aston Villa,Premier League,€331.30m,€627.50m,89.4 %,,,
9.0,,Brighton & Hove Albion,Premier League,€248.85m,€555.60m,123.3 %,,,
10.0,,West Ham United,Premier League,€271.35m,€454.30m,67.4 %,,,
11.0,,Nottingham Forest,Championship,€54.10m,€447.18m,726.6 %,,,
12.0,,Crystal Palace,Premier League,€222.90m,€441.00m,97.8 %,,,
13.0,,AFC Bournemouth,Championship,€124.90m,€435.35m,248.6 %,,,
14.0,,Brentford FC,Championship,€106.30m,€417.10m,292.4 %,,,
15.0,,Wolverhampton Wanderers,Premier League,€428.20m,€408.80m,-4.5 %,,,
16.0,,Everton FC,Premier League,€491.50m,€365.10m,-25.7 %,,,
17.0,,Fulham FC,Premier League,€217.00m,€362.00m,66.8 %,,,
18.0,,Ipswich Town,League One,€18.10m,€279.60m,1444.8 %,,,
19.0,,Southampton FC,Premier League,€239.55m,€273.60m,14.2 %,,,
20.0,,Leicester City,Premier League,€468.50m,€273.30m,-41.7 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€8.50bn,€11.85bn,39.5 %
