#,wappen,Club,Club.1,League,"Value Mar 15, 2020",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Bayern Munich,Bundesliga,€935.15m,€859.00m,-8.1 %,,,
2.0,,Bayer 04 Leverkusen,Bundesliga,€457.25m,€644.05m,40.9 %,,,
3.0,,RB Leipzig,Bundesliga,€630.40m,€510.75m,-19.0 %,,,
4.0,,Borussia Dortmund,Bundesliga,€691.40m,€436.40m,-36.9 %,,,
5.0,,VfB Stuttgart,2. Bundesliga,€69.00m,€330.23m,378.6 %,,,
6.0,,Eintracht Frankfurt,Bundesliga,€220.30m,€323.05m,46.6 %,,,
7.0,,VfL Wolfsburg,Bundesliga,€230.95m,€252.00m,9.1 %,,,
8.0,,TSG 1899 Hoffenheim,Bundesliga,€235.80m,€172.75m,-26.7 %,,,
9.0,,SC Freiburg,Bundesliga,€146.90m,€165.85m,12.9 %,,,
10.0,,1.FSV Mainz 05,Bundesliga,€147.90m,€152.60m,3.2 %,,,
11.0,,Borussia Mönchengladbach,Bundesliga,€312.00m,€147.40m,-52.8 %,,,
12.0,,SV Werder Bremen,Bundesliga,€164.95m,€126.15m,-23.5 %,,,
13.0,,FC Augsburg,Bundesliga,€131.65m,€119.13m,-9.5 %,,,
14.0,,1.FC Union Berlin,Bundesliga,€50.35m,€113.18m,124.8 %,,,
15.0,,1.FC Heidenheim 1846,2. Bundesliga,€21.55m,€66.78m,209.9 %,,,
16.0,,FC St. Pauli,2. Bundesliga,€18.50m,€61.03m,229.9 %,,,
17.0,,VfL Bochum,2. Bundesliga,€19.50m,€59.45m,204.9 %,,,
18.0,,Holstein Kiel,2. Bundesliga,€21.15m,€46.63m,120.4 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€4.50bn,€4.59bn,1.8 %
