#,wappen,Club,Club.1,League,"Value Mar 15, 2017",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Inter Milan,Serie A,€316.50m,€663.80m,109.7 %,,,
2.0,,Juventus FC,Serie A,€447.80m,€623.20m,39.2 %,,,
3.0,,AC Milan,Serie A,€223.40m,€523.50m,134.3 %,,,
4.0,,Atalanta BC,Serie A,€90.25m,€478.60m,430.3 %,,,
5.0,,SSC Napoli,Serie A,€324.75m,€355.55m,9.5 %,,,
6.0,,AS Roma,Serie A,€289.00m,€304.00m,5.2 %,,,
7.0,,SS Lazio,Serie A,€165.50m,€290.60m,75.6 %,,,
8.0,,Bologna FC 1909,Serie A,€65.73m,€286.30m,335.6 %,,,
9.0,,ACF Fiorentina,Serie A,€171.65m,€281.80m,64.2 %,,,
10.0,,Torino FC,Serie A,€121.00m,€191.10m,57.9 %,,,
11.0,,Como 1907,Serie C - A,€3.35m,€176.05m,5155.2 %,,,
12.0,,Genoa CFC,Serie A,€85.98m,€157.35m,83.0 %,,,
13.0,,Udinese Calcio,Serie A,€83.10m,€154.50m,85.9 %,,,
14.0,,Parma Calcio 1913,Serie C - B,€6.23m,€153.30m,2362.7 %,,,
15.0,,FC Empoli,Serie A,€39.83m,€96.10m,141.3 %,,,
16.0,,Hellas Verona,Serie B,€25.30m,€86.45m,241.7 %,,,
17.0,,AC Monza,Serie D - B,€1.83m,€84.73m,4542.5 %,,,
18.0,,Cagliari Calcio,Serie A,€50.85m,€78.90m,55.2 %,,,
19.0,,US Lecce,Serie C - C,€6.03m,€77.08m,1179.3 %,,,
20.0,,Venezia FC,Serie C - B,€5.20m,€76.50m,1371.2 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€2.52bn,€5.14bn,103.7 %
