#,wappen,Club,Club.1,League,"Value Mar 15, 2013",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Paris Saint-Germain,Ligue 1,€303.25m,€923.50m,204.5 %,,,
2.0,,AS Monaco,Ligue 2,€58.95m,€399.20m,577.2 %,,,
3.0,,LOSC Lille,Ligue 1,€96.90m,€318.35m,228.5 %,,,
4.0,,Olympique Marseille,Ligue 1,€110.30m,€285.30m,158.7 %,,,
5.0,,Olympique Lyon,Ligue 1,€106.70m,€226.93m,112.7 %,,,
6.0,,RC Strasbourg Alsace,,€550k,€222.50m,40354.5 %,,,
7.0,,OGC Nice,Ligue 1,€42.85m,€215.75m,403.5 %,,,
8.0,,Stade Rennais FC,Ligue 1,€77.60m,€213.60m,175.3 %,,,
9.0,,RC Lens,Ligue 2,€10.65m,€126.80m,1090.6 %,,,
10.0,,Stade Brestois 29,Ligue 1,€37.20m,€115.00m,209.1 %,,,
11.0,,Stade Reims,Ligue 1,€28.45m,€109.20m,283.8 %,,,
12.0,,FC Nantes,Ligue 2,€16.55m,€103.50m,525.4 %,,,
13.0,,FC Toulouse,Ligue 1,€66.70m,€94.75m,42.1 %,,,
14.0,,AJ Auxerre,Ligue 2,€17.05m,€72.20m,323.5 %,,,
15.0,,Le Havre AC,Ligue 2,€11.60m,€65.15m,461.6 %,,,
16.0,,AS Saint-Étienne,Ligue 1,€82.75m,€57.40m,-30.6 %,,,
17.0,,Montpellier HSC,Ligue 1,€75.55m,€55.75m,-26.2 %,,,
18.0,,Angers SCO,Ligue 2,€10.90m,€48.75m,347.2 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€1.15bn,€3.65bn,216.5 %
