#,wappen,Club,Club.1,League,"Value Mar 15, 2015",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Bayern Munich,Bundesliga,€551.25m,€859.00m,55.8 %,,,
2.0,,Bayer 04 Leverkusen,Bundesliga,€177.10m,€644.05m,263.7 %,,,
3.0,,RB Leipzig,2. Bundesliga,€29.00m,€510.75m,1661.2 %,,,
4.0,,Borussia Dortmund,Bundesliga,€317.80m,€436.40m,37.3 %,,,
5.0,,VfB Stuttgart,Bundesliga,€89.25m,€330.23m,270.0 %,,,
6.0,,Eintracht Frankfurt,Bundesliga,€69.05m,€323.05m,367.8 %,,,
7.0,,VfL Wolfsburg,Bundesliga,€206.35m,€252.00m,22.1 %,,,
8.0,,TSG 1899 Hoffenheim,Bundesliga,€118.20m,€172.75m,46.2 %,,,
9.0,,SC Freiburg,Bundesliga,€54.50m,€165.85m,204.3 %,,,
10.0,,1.FSV Mainz 05,Bundesliga,€75.20m,€152.60m,102.9 %,,,
11.0,,Borussia Mönchengladbach,Bundesliga,€130.45m,€147.40m,13.0 %,,,
12.0,,SV Werder Bremen,Bundesliga,€52.60m,€126.15m,139.8 %,,,
13.0,,FC Augsburg,Bundesliga,€48.55m,€119.13m,145.4 %,,,
14.0,,1.FC Union Berlin,2. Bundesliga,€13.55m,€113.18m,735.2 %,,,
15.0,,1.FC Heidenheim 1846,2. Bundesliga,€11.30m,€66.78m,490.9 %,,,
16.0,,FC St. Pauli,2. Bundesliga,€18.85m,€61.03m,223.7 %,,,
17.0,,VfL Bochum,2. Bundesliga,€14.35m,€59.45m,314.3 %,,,
18.0,,Holstein Kiel,3. Liga,€5.40m,€46.63m,763.4 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€1.98bn,€4.59bn,131.3 %
