#,wappen,Club,Club.1,League,"Value Mar 15, 2022",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Real Madrid,LaLiga,€780.00m,€1.27bn,63.1 %,,,
2.0,,FC Barcelona,LaLiga,€651.00m,€1.02bn,56.5 %,,,
3.0,,Atlético de Madrid,LaLiga,€646.50m,€515.80m,-20.2 %,,,
4.0,,Real Sociedad,LaLiga,€395.40m,€383.80m,-2.9 %,,,
5.0,,Athletic Bilbao,LaLiga,€190.60m,€367.00m,92.5 %,,,
6.0,,Villarreal CF,LaLiga,€362.00m,€218.60m,-39.6 %,,,
7.0,,Valencia CF,LaLiga,€298.80m,€214.90m,-28.1 %,,,
8.0,,Girona FC,LaLiga2,€27.90m,€180.70m,547.7 %,,,
9.0,,Sevilla FC,LaLiga,€424.90m,€174.50m,-58.9 %,,,
10.0,,Real Betis Balompié,LaLiga,€230.10m,€173.10m,-24.8 %,,,
11.0,,UD Las Palmas,LaLiga2,€23.10m,€125.30m,442.4 %,,,
12.0,,CA Osasuna,LaLiga,€87.60m,€109.00m,24.4 %,,,
13.0,,Celta de Vigo,LaLiga,€124.70m,€94.90m,-23.9 %,,,
14.0,,RCD Espanyol Barcelona,LaLiga,€112.50m,€90.60m,-19.5 %,,,
15.0,,RCD Mallorca,LaLiga,€77.50m,€82.20m,6.1 %,,,
16.0,,Getafe CF,LaLiga,€150.30m,€76.80m,-48.9 %,,,
17.0,,Deportivo Alavés,LaLiga,€66.70m,€73.00m,9.4 %,,,
18.0,,Rayo Vallecano,LaLiga,€57.30m,€67.90m,18.5 %,,,
19.0,,Real Valladolid CF,LaLiga2,€46.80m,€43.30m,-7.5 %,,,
20.0,,CD Leganés,LaLiga2,€36.50m,€40.40m,10.7 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€4.79bn,€5.32bn,11.1 %
