#,wappen,Club,Club.1,League,"Value Mar 15, 2011",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Bayern Munich,Bundesliga,€295.00m,€859.00m,191.2 %,,,
2.0,,Bayer 04 Leverkusen,Bundesliga,€142.60m,€644.05m,351.6 %,,,
3.0,,RB Leipzig,RL Nord,€4.88m,€510.75m,10376.9 %,,,
4.0,,Borussia Dortmund,Bundesliga,€146.40m,€436.40m,198.1 %,,,
5.0,,VfB Stuttgart,Bundesliga,€96.90m,€330.23m,240.8 %,,,
6.0,,Eintracht Frankfurt,Bundesliga,€54.28m,€323.05m,495.2 %,,,
7.0,,VfL Wolfsburg,Bundesliga,€121.88m,€252.00m,106.8 %,,,
8.0,,TSG 1899 Hoffenheim,Bundesliga,€83.25m,€172.75m,107.5 %,,,
9.0,,SC Freiburg,Bundesliga,€52.65m,€165.85m,215.0 %,,,
10.0,,1.FSV Mainz 05,Bundesliga,€50.50m,€152.60m,202.2 %,,,
11.0,,Borussia Mönchengladbach,Bundesliga,€52.20m,€147.40m,182.4 %,,,
12.0,,SV Werder Bremen,Bundesliga,€114.60m,€126.15m,10.1 %,,,
13.0,,FC Augsburg,2. Bundesliga,€25.70m,€119.13m,363.5 %,,,
14.0,,1.FC Union Berlin,2. Bundesliga,€12.13m,€113.18m,833.4 %,,,
15.0,,1.FC Heidenheim 1846,3. Liga,€6.33m,€66.78m,955.7 %,,,
16.0,,FC St. Pauli,Bundesliga,€33.25m,€61.03m,83.5 %,,,
17.0,,VfL Bochum,2. Bundesliga,€22.65m,€59.45m,162.5 %,,,
18.0,,Holstein Kiel,RL Nord,€3.50m,€46.63m,1232.1 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€1.32bn,€4.59bn,247.8 %
