#,wappen,Club,Club.1,League,"Value Mar 15, 2021",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Bayern Munich,Bundesliga,€826.50m,€859.00m,3.9 %,,,
2.0,,Bayer 04 Leverkusen,Bundesliga,€396.30m,€644.05m,62.5 %,,,
3.0,,RB Leipzig,Bundesliga,€558.78m,€510.75m,-8.6 %,,,
4.0,,Borussia Dortmund,Bundesliga,€592.95m,€436.40m,-26.4 %,,,
5.0,,VfB Stuttgart,Bundesliga,€151.00m,€330.23m,118.7 %,,,
6.0,,Eintracht Frankfurt,Bundesliga,€206.40m,€323.05m,56.5 %,,,
7.0,,VfL Wolfsburg,Bundesliga,€221.05m,€252.00m,14.0 %,,,
8.0,,TSG 1899 Hoffenheim,Bundesliga,€228.30m,€172.75m,-24.3 %,,,
9.0,,SC Freiburg,Bundesliga,€127.58m,€165.85m,30.0 %,,,
10.0,,1.FSV Mainz 05,Bundesliga,€87.95m,€152.60m,73.5 %,,,
11.0,,Borussia Mönchengladbach,Bundesliga,€346.45m,€147.40m,-57.5 %,,,
12.0,,SV Werder Bremen,Bundesliga,€98.20m,€126.15m,28.5 %,,,
13.0,,FC Augsburg,Bundesliga,€101.10m,€119.13m,17.8 %,,,
14.0,,1.FC Union Berlin,Bundesliga,€76.20m,€113.18m,48.5 %,,,
15.0,,1.FC Heidenheim 1846,2. Bundesliga,€17.15m,€66.78m,289.4 %,,,
16.0,,FC St. Pauli,2. Bundesliga,€18.98m,€61.03m,221.6 %,,,
17.0,,VfL Bochum,2. Bundesliga,€20.85m,€59.45m,185.1 %,,,
18.0,,Holstein Kiel,2. Bundesliga,€19.00m,€46.63m,145.4 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€4.09bn,€4.59bn,12.0 %
