#,wappen,Club,Club.1,League,"Value Mar 15, 2017",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Real Madrid,LaLiga,€766.80m,€1.27bn,65.9 %,,,
2.0,,FC Barcelona,LaLiga,€753.50m,€1.02bn,35.2 %,,,
3.0,,Atlético de Madrid,LaLiga,€497.50m,€515.80m,3.7 %,,,
4.0,,Real Sociedad,LaLiga,€112.40m,€383.80m,241.5 %,,,
5.0,,Athletic Bilbao,LaLiga,€152.80m,€367.00m,140.2 %,,,
6.0,,Villarreal CF,LaLiga,€174.00m,€218.60m,25.6 %,,,
7.0,,Valencia CF,LaLiga,€184.70m,€214.90m,16.4 %,,,
8.0,,Girona FC,LaLiga2,€17.00m,€180.70m,962.9 %,,,
9.0,,Sevilla FC,LaLiga,€236.00m,€174.50m,-26.1 %,,,
10.0,,Real Betis Balompié,LaLiga,€66.90m,€173.10m,158.7 %,,,
11.0,,UD Las Palmas,LaLiga,€69.50m,€125.30m,80.3 %,,,
12.0,,CA Osasuna,LaLiga,€37.00m,€109.00m,194.6 %,,,
13.0,,Celta de Vigo,LaLiga,€103.60m,€94.90m,-8.4 %,,,
14.0,,RCD Espanyol Barcelona,LaLiga,€65.30m,€90.60m,38.7 %,,,
15.0,,RCD Mallorca,LaLiga2,€12.85m,€82.20m,539.7 %,,,
16.0,,Getafe CF,LaLiga2,€19.50m,€76.80m,293.8 %,,,
17.0,,Deportivo Alavés,LaLiga,€62.10m,€73.00m,17.6 %,,,
18.0,,Rayo Vallecano,LaLiga2,€20.90m,€67.90m,224.9 %,,,
19.0,,Real Valladolid CF,LaLiga2,€17.20m,€43.30m,151.7 %,,,
20.0,,CD Leganés,LaLiga,€43.10m,€40.40m,-6.3 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€3.41bn,€5.32bn,56.0 %
