#,wappen,Club,Club.1,League,"Value Mar 15, 2014",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Bayern Munich,Bundesliga,€525.55m,€859.00m,63.4 %,,,
2.0,,Bayer 04 Leverkusen,Bundesliga,€166.05m,€644.05m,287.9 %,,,
3.0,,RB Leipzig,3. Liga,€7.38m,€510.75m,6825.4 %,,,
4.0,,Borussia Dortmund,Bundesliga,€323.35m,€436.40m,35.0 %,,,
5.0,,VfB Stuttgart,Bundesliga,€88.40m,€330.23m,273.6 %,,,
6.0,,Eintracht Frankfurt,Bundesliga,€83.85m,€323.05m,285.3 %,,,
7.0,,VfL Wolfsburg,Bundesliga,€123.35m,€252.00m,104.3 %,,,
8.0,,TSG 1899 Hoffenheim,Bundesliga,€83.00m,€172.75m,108.1 %,,,
9.0,,SC Freiburg,Bundesliga,€70.50m,€165.85m,135.2 %,,,
10.0,,1.FSV Mainz 05,Bundesliga,€56.65m,€152.60m,169.4 %,,,
11.0,,Borussia Mönchengladbach,Bundesliga,€101.78m,€147.40m,44.8 %,,,
12.0,,SV Werder Bremen,Bundesliga,€56.43m,€126.15m,123.6 %,,,
13.0,,FC Augsburg,Bundesliga,€43.60m,€119.13m,173.2 %,,,
14.0,,1.FC Union Berlin,2. Bundesliga,€15.35m,€113.18m,637.3 %,,,
15.0,,1.FC Heidenheim 1846,3. Liga,€6.78m,€66.78m,885.6 %,,,
16.0,,FC St. Pauli,2. Bundesliga,€16.45m,€61.03m,271.0 %,,,
17.0,,VfL Bochum,2. Bundesliga,€11.98m,€59.45m,396.5 %,,,
18.0,,Holstein Kiel,3. Liga,€5.48m,€46.63m,751.6 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€1.79bn,€4.59bn,156.8 %
