#,wappen,Club,Club.1,League,"Value Mar 15, 2011",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Paris Saint-Germain,Ligue 1,€94.55m,€923.50m,876.7 %,,,
2.0,,AS Monaco,Ligue 1,€68.10m,€399.20m,486.2 %,,,
3.0,,LOSC Lille,Ligue 1,€116.15m,€318.35m,174.1 %,,,
4.0,,Olympique Marseille,Ligue 1,€166.55m,€285.30m,71.3 %,,,
5.0,,Olympique Lyon,Ligue 1,€193.55m,€226.93m,17.2 %,,,
6.0,,RC Strasbourg Alsace,,-,€222.50m,-,,,
7.0,,OGC Nice,Ligue 1,€47.85m,€215.75m,350.9 %,,,
8.0,,Stade Rennais FC,Ligue 1,€87.55m,€213.60m,144.0 %,,,
9.0,,RC Lens,Ligue 1,€38.55m,€126.80m,228.9 %,,,
10.0,,Stade Brestois 29,Ligue 1,€29.05m,€115.00m,295.9 %,,,
11.0,,Stade Reims,Ligue 2,€9.00m,€109.20m,1113.3 %,,,
12.0,,FC Nantes,Ligue 2,€15.85m,€103.50m,553.0 %,,,
13.0,,FC Toulouse,Ligue 1,€66.73m,€94.75m,42.0 %,,,
14.0,,AJ Auxerre,Ligue 1,€67.35m,€72.20m,7.2 %,,,
15.0,,Le Havre AC,Ligue 2,€16.35m,€65.15m,298.5 %,,,
16.0,,AS Saint-Étienne,Ligue 1,€60.15m,€57.40m,-4.6 %,,,
17.0,,Montpellier HSC,Ligue 1,€51.00m,€55.75m,9.3 %,,,
18.0,,Angers SCO,Ligue 2,€9.50m,€48.75m,413.2 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€1.14bn,€3.65bn,221.1 %
