#,wappen,Club,Club.1,League,"Value Mar 15, 2024",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Inter Milan,Serie A,€622.35m,€663.80m,6.7 %,,,
2.0,,Juventus FC,Serie A,€490.20m,€623.20m,27.1 %,,,
3.0,,AC Milan,Serie A,€533.45m,€523.50m,-1.9 %,,,
4.0,,Atalanta BC,Serie A,€349.60m,€478.60m,36.9 %,,,
5.0,,SSC Napoli,Serie A,€513.15m,€355.55m,-30.7 %,,,
6.0,,AS Roma,Serie A,€327.65m,€304.00m,-7.2 %,,,
7.0,,SS Lazio,Serie A,€227.63m,€290.60m,27.7 %,,,
8.0,,Bologna FC 1909,Serie A,€254.55m,€286.30m,12.5 %,,,
9.0,,ACF Fiorentina,Serie A,€248.40m,€281.80m,13.4 %,,,
10.0,,Torino FC,Serie A,€181.40m,€191.10m,5.3 %,,,
11.0,,Como 1907,Serie B,€39.88m,€176.05m,341.5 %,,,
12.0,,Genoa CFC,Serie A,€135.75m,€157.35m,15.9 %,,,
13.0,,Udinese Calcio,Serie A,€135.70m,€154.50m,13.9 %,,,
14.0,,Parma Calcio 1913,Serie B,€60.10m,€153.30m,155.1 %,,,
15.0,,FC Empoli,Serie A,€68.60m,€96.10m,40.1 %,,,
16.0,,Hellas Verona,Serie A,€68.38m,€86.45m,26.4 %,,,
17.0,,AC Monza,Serie A,€131.30m,€84.73m,-35.5 %,,,
18.0,,Cagliari Calcio,Serie A,€78.48m,€78.90m,0.5 %,,,
19.0,,US Lecce,Serie A,€80.83m,€77.08m,-4.6 %,,,
20.0,,Venezia FC,Serie B,€27.58m,€76.50m,177.4 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€4.57bn,€5.14bn,12.3 %
