#,wappen,Club,Club.1,League,"Value Mar 15, 2018",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Bayern Munich,Bundesliga,€642.50m,€859.00m,33.7 %,,,
2.0,,Bayer 04 Leverkusen,Bundesliga,€262.90m,€644.05m,145.0 %,,,
3.0,,RB Leipzig,Bundesliga,€305.55m,€510.75m,67.2 %,,,
4.0,,Borussia Dortmund,Bundesliga,€364.45m,€436.40m,19.7 %,,,
5.0,,VfB Stuttgart,Bundesliga,€79.65m,€330.23m,314.6 %,,,
6.0,,Eintracht Frankfurt,Bundesliga,€89.15m,€323.05m,262.4 %,,,
7.0,,VfL Wolfsburg,Bundesliga,€148.80m,€252.00m,69.4 %,,,
8.0,,TSG 1899 Hoffenheim,Bundesliga,€142.80m,€172.75m,21.0 %,,,
9.0,,SC Freiburg,Bundesliga,€77.40m,€165.85m,114.3 %,,,
10.0,,1.FSV Mainz 05,Bundesliga,€69.70m,€152.60m,118.9 %,,,
11.0,,Borussia Mönchengladbach,Bundesliga,€177.10m,€147.40m,-16.8 %,,,
12.0,,SV Werder Bremen,Bundesliga,€79.40m,€126.15m,58.9 %,,,
13.0,,FC Augsburg,Bundesliga,€68.80m,€119.13m,73.1 %,,,
14.0,,1.FC Union Berlin,2. Bundesliga,€20.35m,€113.18m,456.1 %,,,
15.0,,1.FC Heidenheim 1846,2. Bundesliga,€13.78m,€66.78m,384.8 %,,,
16.0,,FC St. Pauli,2. Bundesliga,€17.95m,€61.03m,240.0 %,,,
17.0,,VfL Bochum,2. Bundesliga,€14.70m,€59.45m,304.4 %,,,
18.0,,Holstein Kiel,2. Bundesliga,€13.78m,€46.63m,238.5 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€2.59bn,€4.59bn,77.2 %
