#,wappen,Club,Club.1,League,"Value Mar 15, 2023",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Inter Milan,Serie A,€555.95m,€663.80m,19.4 %,,,
2.0,,Juventus FC,Serie A,€442.30m,€623.20m,40.9 %,,,
3.0,,AC Milan,Serie A,€571.40m,€523.50m,-8.4 %,,,
4.0,,Atalanta BC,Serie A,€307.50m,€478.60m,55.6 %,,,
5.0,,SSC Napoli,Serie A,€543.00m,€355.55m,-34.5 %,,,
6.0,,AS Roma,Serie A,€338.75m,€304.00m,-10.3 %,,,
7.0,,SS Lazio,Serie A,€264.40m,€290.60m,9.9 %,,,
8.0,,Bologna FC 1909,Serie A,€125.10m,€286.30m,128.9 %,,,
9.0,,ACF Fiorentina,Serie A,€235.75m,€281.80m,19.5 %,,,
10.0,,Torino FC,Serie A,€154.53m,€191.10m,23.7 %,,,
11.0,,Como 1907,Serie B,€28.45m,€176.05m,518.8 %,,,
12.0,,Genoa CFC,Serie B,€50.85m,€157.35m,209.4 %,,,
13.0,,Udinese Calcio,Serie A,€140.65m,€154.50m,9.8 %,,,
14.0,,Parma Calcio 1913,Serie B,€48.35m,€153.30m,217.1 %,,,
15.0,,FC Empoli,Serie A,€91.70m,€96.10m,4.8 %,,,
16.0,,Hellas Verona,Serie A,€77.95m,€86.45m,10.9 %,,,
17.0,,AC Monza,Serie A,€108.40m,€84.73m,-21.8 %,,,
18.0,,Cagliari Calcio,Serie B,€35.80m,€78.90m,120.4 %,,,
19.0,,US Lecce,Serie A,€73.43m,€77.08m,5.0 %,,,
20.0,,Venezia FC,Serie B,€32.83m,€76.50m,133.1 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€4.23bn,€5.14bn,21.6 %
