#,wappen,Club,Club.1,League,"Value Mar 15, 2019",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Inter Milan,Serie A,€557.40m,€663.80m,19.1 %,,,
2.0,,Juventus FC,Serie A,€782.50m,€623.20m,-20.4 %,,,
3.0,,AC Milan,Serie A,€530.00m,€523.50m,-1.2 %,,,
4.0,,Atalanta BC,Serie A,€193.95m,€478.60m,146.8 %,,,
5.0,,SSC Napoli,Serie A,€563.00m,€355.55m,-36.8 %,,,
6.0,,AS Roma,Serie A,€424.90m,€304.00m,-28.5 %,,,
7.0,,SS Lazio,Serie A,€302.90m,€290.60m,-4.1 %,,,
8.0,,Bologna FC 1909,Serie A,€88.68m,€286.30m,222.9 %,,,
9.0,,ACF Fiorentina,Serie A,€273.68m,€281.80m,3.0 %,,,
10.0,,Torino FC,Serie A,€162.75m,€191.10m,17.4 %,,,
11.0,,Como 1907,Serie D - B,€1.83m,€176.05m,9546.6 %,,,
12.0,,Genoa CFC,Serie A,€118.60m,€157.35m,32.7 %,,,
13.0,,Udinese Calcio,Serie A,€125.75m,€154.50m,22.9 %,,,
14.0,,Parma Calcio 1913,Serie A,€80.03m,€153.30m,91.6 %,,,
15.0,,FC Empoli,Serie A,€64.95m,€96.10m,48.0 %,,,
16.0,,Hellas Verona,Serie B,€22.90m,€86.45m,277.5 %,,,
17.0,,AC Monza,Serie C - B,€6.83m,€84.73m,1141.4 %,,,
18.0,,Cagliari Calcio,Serie A,€122.90m,€78.90m,-35.8 %,,,
19.0,,US Lecce,Serie B,€16.08m,€77.08m,379.5 %,,,
20.0,,Venezia FC,Serie B,€14.20m,€76.50m,438.7 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€4.45bn,€5.14bn,15.4 %
