#,wappen,Club,Club.1,League,"Value Mar 15, 2022",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Inter Milan,Serie A,€550.90m,€663.80m,20.5 %,,,
2.0,,Juventus FC,Serie A,€566.40m,€623.20m,10.0 %,,,
3.0,,AC Milan,Serie A,€466.60m,€523.50m,12.2 %,,,
4.0,,Atalanta BC,Serie A,€379.90m,€478.60m,26.0 %,,,
5.0,,SSC Napoli,Serie A,€505.85m,€355.55m,-29.7 %,,,
6.0,,AS Roma,Serie A,€390.65m,€304.00m,-22.2 %,,,
7.0,,SS Lazio,Serie A,€267.45m,€290.60m,8.7 %,,,
8.0,,Bologna FC 1909,Serie A,€142.75m,€286.30m,100.6 %,,,
9.0,,ACF Fiorentina,Serie A,€232.40m,€281.80m,21.3 %,,,
10.0,,Torino FC,Serie A,€205.68m,€191.10m,-7.1 %,,,
11.0,,Como 1907,Serie B,€16.38m,€176.05m,975.1 %,,,
12.0,,Genoa CFC,Serie A,€108.20m,€157.35m,45.4 %,,,
13.0,,Udinese Calcio,Serie A,€103.25m,€154.50m,49.6 %,,,
14.0,,Parma Calcio 1913,Serie B,€57.55m,€153.30m,166.4 %,,,
15.0,,FC Empoli,Serie A,€86.60m,€96.10m,11.0 %,,,
16.0,,Hellas Verona,Serie A,€116.53m,€86.45m,-25.8 %,,,
17.0,,AC Monza,Serie B,€44.65m,€84.73m,89.8 %,,,
18.0,,Cagliari Calcio,Serie A,€129.50m,€78.90m,-39.1 %,,,
19.0,,US Lecce,Serie B,€32.50m,€77.08m,137.2 %,,,
20.0,,Venezia FC,Serie A,€87.83m,€76.50m,-12.9 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€4.49bn,€5.14bn,14.4 %
