#,wappen,Club,Club.1,League,"Value Mar 15, 2021",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Paris Saint-Germain,Ligue 1,€869.80m,€923.50m,6.2 %,,,
2.0,,AS Monaco,Ligue 1,€310.50m,€399.20m,28.6 %,,,
3.0,,LOSC Lille,Ligue 1,€279.80m,€318.35m,13.8 %,,,
4.0,,Olympique Marseille,Ligue 1,€229.50m,€285.30m,24.3 %,,,
5.0,,Olympique Lyon,Ligue 1,€323.75m,€226.93m,-29.9 %,,,
6.0,,RC Strasbourg Alsace,Ligue 1,€103.70m,€222.50m,114.6 %,,,
7.0,,OGC Nice,Ligue 1,€219.35m,€215.75m,-1.6 %,,,
8.0,,Stade Rennais FC,Ligue 1,€232.40m,€213.60m,-8.1 %,,,
9.0,,RC Lens,Ligue 1,€76.95m,€126.80m,64.8 %,,,
10.0,,Stade Brestois 29,Ligue 1,€82.88m,€115.00m,38.8 %,,,
11.0,,Stade Reims,Ligue 1,€91.05m,€109.20m,19.9 %,,,
12.0,,FC Nantes,Ligue 1,€98.40m,€103.50m,5.2 %,,,
13.0,,FC Toulouse,Ligue 2,€46.45m,€94.75m,104.0 %,,,
14.0,,AJ Auxerre,Ligue 2,€16.65m,€72.20m,333.6 %,,,
15.0,,Le Havre AC,Ligue 2,€14.00m,€65.15m,365.4 %,,,
16.0,,AS Saint-Étienne,Ligue 1,€96.15m,€57.40m,-40.3 %,,,
17.0,,Montpellier HSC,Ligue 1,€105.60m,€55.75m,-47.2 %,,,
18.0,,Angers SCO,Ligue 1,€79.40m,€48.75m,-38.6 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€3.28bn,€3.65bn,11.5 %
