#,wappen,Club,Club.1,League,"Value Mar 15, 2016",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Inter Milan,Serie A,€245.30m,€663.80m,170.6 %,,,
2.0,,Juventus FC,Serie A,€379.80m,€623.20m,64.1 %,,,
3.0,,AC Milan,Serie A,€188.10m,€523.50m,178.3 %,,,
4.0,,Atalanta BC,Serie A,€60.55m,€478.60m,690.4 %,,,
5.0,,SSC Napoli,Serie A,€284.00m,€355.55m,25.2 %,,,
6.0,,AS Roma,Serie A,€250.70m,€304.00m,21.3 %,,,
7.0,,SS Lazio,Serie A,€176.20m,€290.60m,64.9 %,,,
8.0,,Bologna FC 1909,Serie A,€67.90m,€286.30m,321.6 %,,,
9.0,,ACF Fiorentina,Serie A,€162.60m,€281.80m,73.3 %,,,
10.0,,Torino FC,Serie A,€81.00m,€191.10m,135.9 %,,,
11.0,,Como 1907,Serie B,€13.45m,€176.05m,1208.9 %,,,
12.0,,Genoa CFC,Serie A,€86.75m,€157.35m,81.4 %,,,
13.0,,Udinese Calcio,Serie A,€77.60m,€154.50m,99.1 %,,,
14.0,,Parma Calcio 1913,Serie D - D,€2.90m,€153.30m,5186.2 %,,,
15.0,,FC Empoli,Serie A,€60.48m,€96.10m,58.9 %,,,
16.0,,Hellas Verona,Serie A,€39.35m,€86.45m,119.7 %,,,
17.0,,AC Monza,Serie D - B,€1.13m,€84.73m,7431.1 %,,,
18.0,,Cagliari Calcio,Serie B,€36.20m,€78.90m,118.0 %,,,
19.0,,US Lecce,Serie C - C,€5.50m,€77.08m,1301.4 %,,,
20.0,,Venezia FC,Serie D - C,€1.70m,€76.50m,4400.0 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€2.22bn,€5.14bn,131.4 %
