#,wappen,Club,Club.1,League,"Value Mar 15, 2019",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Real Madrid,LaLiga,€965.30m,€1.27bn,31.8 %,,,
2.0,,FC Barcelona,LaLiga,€1.18bn,€1.02bn,-13.6 %,,,
3.0,,Atlético de Madrid,LaLiga,€955.00m,€515.80m,-46.0 %,,,
4.0,,Real Sociedad,LaLiga,€230.50m,€383.80m,66.5 %,,,
5.0,,Athletic Bilbao,LaLiga,€194.70m,€367.00m,88.5 %,,,
6.0,,Villarreal CF,LaLiga,€192.50m,€218.60m,13.6 %,,,
7.0,,Valencia CF,LaLiga,€353.00m,€214.90m,-39.1 %,,,
8.0,,Girona FC,LaLiga,€107.20m,€180.70m,68.6 %,,,
9.0,,Sevilla FC,LaLiga,€283.50m,€174.50m,-38.4 %,,,
10.0,,Real Betis Balompié,LaLiga,€243.00m,€173.10m,-28.8 %,,,
11.0,,UD Las Palmas,LaLiga2,€21.00m,€125.30m,496.7 %,,,
12.0,,CA Osasuna,LaLiga2,€18.10m,€109.00m,502.2 %,,,
13.0,,Celta de Vigo,LaLiga,€219.70m,€94.90m,-56.8 %,,,
14.0,,RCD Espanyol Barcelona,LaLiga,€124.30m,€90.60m,-27.1 %,,,
15.0,,RCD Mallorca,LaLiga2,€13.60m,€82.20m,504.4 %,,,
16.0,,Getafe CF,LaLiga,€93.50m,€76.80m,-17.9 %,,,
17.0,,Deportivo Alavés,LaLiga,€90.00m,€73.00m,-18.9 %,,,
18.0,,Rayo Vallecano,LaLiga,€71.30m,€67.90m,-4.8 %,,,
19.0,,Real Valladolid CF,LaLiga,€63.60m,€43.30m,-31.9 %,,,
20.0,,CD Leganés,LaLiga,€97.90m,€40.40m,-58.7 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€5.52bn,€5.32bn,-3.5 %
