#,wappen,Club,Club.1,League,"Value Mar 15, 2018",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Paris Saint-Germain,Ligue 1,€756.50m,€923.50m,22.1 %,,,
2.0,,AS Monaco,Ligue 1,€342.65m,€399.20m,16.5 %,,,
3.0,,LOSC Lille,Ligue 1,€87.10m,€318.35m,265.5 %,,,
4.0,,Olympique Marseille,Ligue 1,€184.05m,€285.30m,55.0 %,,,
5.0,,Olympique Lyon,Ligue 1,€296.95m,€226.93m,-23.6 %,,,
6.0,,RC Strasbourg Alsace,Ligue 1,€42.45m,€222.50m,424.1 %,,,
7.0,,OGC Nice,Ligue 1,€166.35m,€215.75m,29.7 %,,,
8.0,,Stade Rennais FC,Ligue 1,€102.55m,€213.60m,108.3 %,,,
9.0,,RC Lens,Ligue 2,€19.13m,€126.80m,563.0 %,,,
10.0,,Stade Brestois 29,Ligue 2,€17.10m,€115.00m,572.5 %,,,
11.0,,Stade Reims,Ligue 2,€16.90m,€109.20m,546.2 %,,,
12.0,,FC Nantes,Ligue 1,€80.40m,€103.50m,28.7 %,,,
13.0,,FC Toulouse,Ligue 1,€103.45m,€94.75m,-8.4 %,,,
14.0,,AJ Auxerre,Ligue 2,€17.50m,€72.20m,312.6 %,,,
15.0,,Le Havre AC,Ligue 2,€13.88m,€65.15m,369.5 %,,,
16.0,,AS Saint-Étienne,Ligue 1,€80.20m,€57.40m,-28.4 %,,,
17.0,,Montpellier HSC,Ligue 1,€49.30m,€55.75m,13.1 %,,,
18.0,,Angers SCO,Ligue 1,€44.60m,€48.75m,9.3 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€2.42bn,€3.65bn,50.9 %
