#,wappen,Club,Club.1,League,"Value Mar 15, 2024",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Bayern Munich,Bundesliga,€976.45m,€859.00m,-12.0 %,,,
2.0,,Bayer 04 Leverkusen,Bundesliga,€566.55m,€644.05m,13.7 %,,,
3.0,,RB Leipzig,Bundesliga,€483.60m,€510.75m,5.6 %,,,
4.0,,Borussia Dortmund,Bundesliga,€464.90m,€436.40m,-6.1 %,,,
5.0,,VfB Stuttgart,Bundesliga,€236.40m,€330.23m,39.7 %,,,
6.0,,Eintracht Frankfurt,Bundesliga,€231.75m,€323.05m,39.4 %,,,
7.0,,VfL Wolfsburg,Bundesliga,€245.70m,€252.00m,2.6 %,,,
8.0,,TSG 1899 Hoffenheim,Bundesliga,€133.65m,€172.75m,29.3 %,,,
9.0,,SC Freiburg,Bundesliga,€189.20m,€165.85m,-12.3 %,,,
10.0,,1.FSV Mainz 05,Bundesliga,€109.65m,€152.60m,39.2 %,,,
11.0,,Borussia Mönchengladbach,Bundesliga,€201.08m,€147.40m,-26.7 %,,,
12.0,,SV Werder Bremen,Bundesliga,€86.70m,€126.15m,45.5 %,,,
13.0,,FC Augsburg,Bundesliga,€120.85m,€119.13m,-1.4 %,,,
14.0,,1.FC Union Berlin,Bundesliga,€149.95m,€113.18m,-24.5 %,,,
15.0,,1.FC Heidenheim 1846,Bundesliga,€49.25m,€66.78m,35.6 %,,,
16.0,,FC St. Pauli,2. Bundesliga,€27.70m,€61.03m,120.3 %,,,
17.0,,VfL Bochum,Bundesliga,€57.50m,€59.45m,3.4 %,,,
18.0,,Holstein Kiel,2. Bundesliga,€27.35m,€46.63m,70.5 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€4.36bn,€4.59bn,5.2 %
