#,wappen,Club,Club.1,League,"Value Mar 15, 2018",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Inter Milan,Serie A,€347.80m,€663.80m,90.9 %,,,
2.0,,Juventus FC,Serie A,€564.30m,€623.20m,10.4 %,,,
3.0,,AC Milan,Serie A,€340.65m,€523.50m,53.7 %,,,
4.0,,Atalanta BC,Serie A,€152.35m,€478.60m,214.1 %,,,
5.0,,SSC Napoli,Serie A,€403.50m,€355.55m,-11.9 %,,,
6.0,,AS Roma,Serie A,€344.40m,€304.00m,-11.7 %,,,
7.0,,SS Lazio,Serie A,€266.45m,€290.60m,9.1 %,,,
8.0,,Bologna FC 1909,Serie A,€83.28m,€286.30m,243.8 %,,,
9.0,,ACF Fiorentina,Serie A,€158.90m,€281.80m,77.3 %,,,
10.0,,Torino FC,Serie A,€138.70m,€191.10m,37.8 %,,,
11.0,,Como 1907,Serie D - A,€1.45m,€176.05m,12041.4 %,,,
12.0,,Genoa CFC,Serie A,€83.50m,€157.35m,88.4 %,,,
13.0,,Udinese Calcio,Serie A,€91.05m,€154.50m,69.7 %,,,
14.0,,Parma Calcio 1913,Serie B,€20.20m,€153.30m,658.9 %,,,
15.0,,FC Empoli,Serie B,€17.70m,€96.10m,442.9 %,,,
16.0,,Hellas Verona,Serie A,€41.85m,€86.45m,106.6 %,,,
17.0,,AC Monza,Serie C - A,€3.33m,€84.73m,2448.1 %,,,
18.0,,Cagliari Calcio,Serie A,€76.18m,€78.90m,3.6 %,,,
19.0,,US Lecce,Serie C - C,€6.45m,€77.08m,1095.0 %,,,
20.0,,Venezia FC,Serie B,€9.60m,€76.50m,696.9 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€3.15bn,€5.14bn,63.1 %
