#,wappen,Club,Club.1,League,"Value Mar 15, 2021",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Real Madrid,LaLiga,€745.00m,€1.27bn,70.7 %,,,
2.0,,FC Barcelona,LaLiga,€810.00m,€1.02bn,25.8 %,,,
3.0,,Atlético de Madrid,LaLiga,€769.00m,€515.80m,-32.9 %,,,
4.0,,Real Sociedad,LaLiga,€337.90m,€383.80m,13.6 %,,,
5.0,,Athletic Bilbao,LaLiga,€211.60m,€367.00m,73.4 %,,,
6.0,,Villarreal CF,LaLiga,€246.70m,€218.60m,-11.4 %,,,
7.0,,Valencia CF,LaLiga,€256.70m,€214.90m,-16.3 %,,,
8.0,,Girona FC,LaLiga2,€30.80m,€180.70m,486.7 %,,,
9.0,,Sevilla FC,LaLiga,€343.90m,€174.50m,-49.3 %,,,
10.0,,Real Betis Balompié,LaLiga,€196.40m,€173.10m,-11.9 %,,,
11.0,,UD Las Palmas,LaLiga2,€20.60m,€125.30m,508.3 %,,,
12.0,,CA Osasuna,LaLiga,€80.20m,€109.00m,35.9 %,,,
13.0,,Celta de Vigo,LaLiga,€118.20m,€94.90m,-19.7 %,,,
14.0,,RCD Espanyol Barcelona,LaLiga2,€67.50m,€90.60m,34.2 %,,,
15.0,,RCD Mallorca,LaLiga2,€39.10m,€82.20m,110.2 %,,,
16.0,,Getafe CF,LaLiga,€178.50m,€76.80m,-57.0 %,,,
17.0,,Deportivo Alavés,LaLiga,€80.00m,€73.00m,-8.8 %,,,
18.0,,Rayo Vallecano,LaLiga2,€27.00m,€67.90m,151.5 %,,,
19.0,,Real Valladolid CF,LaLiga,€69.20m,€43.30m,-37.4 %,,,
20.0,,CD Leganés,LaLiga2,€34.50m,€40.40m,17.1 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€4.66bn,€5.32bn,14.2 %
