#,wappen,Club,Club.1,League,"Value Mar 15, 2017",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Bayern Munich,Bundesliga,€556.15m,€859.00m,54.5 %,,,
2.0,,Bayer 04 Leverkusen,Bundesliga,€272.45m,€644.05m,136.4 %,,,
3.0,,RB Leipzig,Bundesliga,€111.03m,€510.75m,360.0 %,,,
4.0,,Borussia Dortmund,Bundesliga,€378.35m,€436.40m,15.3 %,,,
5.0,,VfB Stuttgart,2. Bundesliga,€42.75m,€330.23m,672.5 %,,,
6.0,,Eintracht Frankfurt,Bundesliga,€67.75m,€323.05m,376.8 %,,,
7.0,,VfL Wolfsburg,Bundesliga,€157.00m,€252.00m,60.5 %,,,
8.0,,TSG 1899 Hoffenheim,Bundesliga,€99.88m,€172.75m,73.0 %,,,
9.0,,SC Freiburg,Bundesliga,€52.28m,€165.85m,217.3 %,,,
10.0,,1.FSV Mainz 05,Bundesliga,€77.23m,€152.60m,97.6 %,,,
11.0,,Borussia Mönchengladbach,Bundesliga,€161.55m,€147.40m,-8.8 %,,,
12.0,,SV Werder Bremen,Bundesliga,€68.80m,€126.15m,83.4 %,,,
13.0,,FC Augsburg,Bundesliga,€62.38m,€119.13m,91.0 %,,,
14.0,,1.FC Union Berlin,2. Bundesliga,€18.75m,€113.18m,503.6 %,,,
15.0,,1.FC Heidenheim 1846,2. Bundesliga,€13.00m,€66.78m,413.7 %,,,
16.0,,FC St. Pauli,2. Bundesliga,€15.33m,€61.03m,298.2 %,,,
17.0,,VfL Bochum,2. Bundesliga,€15.65m,€59.45m,279.9 %,,,
18.0,,Holstein Kiel,3. Liga,€6.23m,€46.63m,649.0 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€2.18bn,€4.59bn,110.7 %
