#,wappen,Club,Club.1,League,"Value Mar 15, 2020",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Paris Saint-Germain,Ligue 1,€1.02bn,€923.50m,-9.8 %,,,
2.0,,AS Monaco,Ligue 1,€343.35m,€399.20m,16.3 %,,,
3.0,,LOSC Lille,Ligue 1,€280.60m,€318.35m,13.5 %,,,
4.0,,Olympique Marseille,Ligue 1,€258.10m,€285.30m,10.5 %,,,
5.0,,Olympique Lyon,Ligue 1,€459.00m,€226.93m,-50.6 %,,,
6.0,,RC Strasbourg Alsace,Ligue 1,€92.75m,€222.50m,139.9 %,,,
7.0,,OGC Nice,Ligue 1,€191.65m,€215.75m,12.6 %,,,
8.0,,Stade Rennais FC,Ligue 1,€200.00m,€213.60m,6.8 %,,,
9.0,,RC Lens,Ligue 2,€23.85m,€126.80m,431.7 %,,,
10.0,,Stade Brestois 29,Ligue 1,€57.75m,€115.00m,99.1 %,,,
11.0,,Stade Reims,Ligue 1,€86.00m,€109.20m,27.0 %,,,
12.0,,FC Nantes,Ligue 1,€101.40m,€103.50m,2.1 %,,,
13.0,,FC Toulouse,Ligue 1,€83.15m,€94.75m,14.0 %,,,
14.0,,AJ Auxerre,Ligue 2,€15.50m,€72.20m,365.8 %,,,
15.0,,Le Havre AC,Ligue 2,€24.40m,€65.15m,167.0 %,,,
16.0,,AS Saint-Étienne,Ligue 1,€117.65m,€57.40m,-51.2 %,,,
17.0,,Montpellier HSC,Ligue 1,€97.30m,€55.75m,-42.7 %,,,
18.0,,Angers SCO,Ligue 1,€78.60m,€48.75m,-38.0 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€3.54bn,€3.65bn,3.3 %
