#,wappen,Club,Club.1,League,"Value Mar 15, 2017",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Paris Saint-Germain,Ligue 1,€463.90m,€923.50m,99.1 %,,,
2.0,,AS Monaco,Ligue 1,€197.80m,€399.20m,101.8 %,,,
3.0,,LOSC Lille,Ligue 1,€55.45m,€318.35m,474.1 %,,,
4.0,,Olympique Marseille,Ligue 1,€108.60m,€285.30m,162.7 %,,,
5.0,,Olympique Lyon,Ligue 1,€200.80m,€226.93m,13.0 %,,,
6.0,,RC Strasbourg Alsace,Ligue 2,€9.80m,€222.50m,2170.4 %,,,
7.0,,OGC Nice,Ligue 1,€114.18m,€215.75m,89.0 %,,,
8.0,,Stade Rennais FC,Ligue 1,€52.90m,€213.60m,303.8 %,,,
9.0,,RC Lens,Ligue 2,€13.95m,€126.80m,809.0 %,,,
10.0,,Stade Brestois 29,Ligue 2,€14.13m,€115.00m,714.2 %,,,
11.0,,Stade Reims,Ligue 2,€23.45m,€109.20m,365.7 %,,,
12.0,,FC Nantes,Ligue 1,€42.80m,€103.50m,141.8 %,,,
13.0,,FC Toulouse,Ligue 1,€65.35m,€94.75m,45.0 %,,,
14.0,,AJ Auxerre,Ligue 2,€14.05m,€72.20m,413.9 %,,,
15.0,,Le Havre AC,Ligue 2,€15.30m,€65.15m,325.8 %,,,
16.0,,AS Saint-Étienne,Ligue 1,€78.45m,€57.40m,-26.8 %,,,
17.0,,Montpellier HSC,Ligue 1,€38.30m,€55.75m,45.6 %,,,
18.0,,Angers SCO,Ligue 1,€40.35m,€48.75m,20.8 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€1.55bn,€3.65bn,135.8 %
