#,wappen,Club,Club.1,League,"Value Mar 15, 2012",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Inter Milan,Serie A,€246.85m,€663.80m,168.9 %,,,
2.0,,Juventus FC,Serie A,€248.70m,€623.20m,150.6 %,,,
3.0,,AC Milan,Serie A,€266.30m,€523.50m,96.6 %,,,
4.0,,Atalanta BC,Serie A,€54.10m,€478.60m,784.7 %,,,
5.0,,SSC Napoli,Serie A,€194.20m,€355.55m,83.1 %,,,
6.0,,AS Roma,Serie A,€160.53m,€304.00m,89.4 %,,,
7.0,,SS Lazio,Serie A,€95.08m,€290.60m,205.7 %,,,
8.0,,Bologna FC 1909,Serie A,€56.45m,€286.30m,407.2 %,,,
9.0,,ACF Fiorentina,Serie A,€124.68m,€281.80m,126.0 %,,,
10.0,,Torino FC,Serie B,€31.83m,€191.10m,500.5 %,,,
11.0,,Como 1907,Serie C - A,€3.48m,€176.05m,4966.2 %,,,
12.0,,Genoa CFC,Serie A,€101.10m,€157.35m,55.6 %,,,
13.0,,Udinese Calcio,Serie A,€115.80m,€154.50m,33.4 %,,,
14.0,,Parma Calcio 1913,Serie A,€66.33m,€153.30m,131.1 %,,,
15.0,,FC Empoli,Serie B,€12.93m,€96.10m,643.5 %,,,
16.0,,Hellas Verona,Serie B,€10.18m,€86.45m,749.6 %,,,
17.0,,AC Monza,Serie C - A,€2.75m,€84.73m,2980.9 %,,,
18.0,,Cagliari Calcio,Serie A,€65.50m,€78.90m,20.5 %,,,
19.0,,US Lecce,Serie A,€24.53m,€77.08m,214.3 %,,,
20.0,,Venezia FC,Coppa Italia,€1.48m,€76.50m,5086.4 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€1.88bn,€5.14bn,173.0 %
