#,wappen,Club,Club.1,League,"Value Mar 15, 2011",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Inter Milan,Serie A,€351.25m,€663.80m,89.0 %,,,
2.0,,Juventus FC,Serie A,€252.40m,€623.20m,146.9 %,,,
3.0,,AC Milan,Serie A,€251.75m,€523.50m,107.9 %,,,
4.0,,Atalanta BC,Serie B,€41.75m,€478.60m,1046.3 %,,,
5.0,,SSC Napoli,Serie A,€147.30m,€355.55m,141.4 %,,,
6.0,,AS Roma,Serie A,€206.75m,€304.00m,47.0 %,,,
7.0,,SS Lazio,Serie A,€113.30m,€290.60m,156.5 %,,,
8.0,,Bologna FC 1909,Serie A,€57.65m,€286.30m,396.6 %,,,
9.0,,ACF Fiorentina,Serie A,€180.90m,€281.80m,55.8 %,,,
10.0,,Torino FC,Serie B,€24.50m,€191.10m,680.0 %,,,
11.0,,Como 1907,Serie C - A,€4.05m,€176.05m,4246.9 %,,,
12.0,,Genoa CFC,Serie A,€119.10m,€157.35m,32.1 %,,,
13.0,,Udinese Calcio,Serie A,€103.30m,€154.50m,49.6 %,,,
14.0,,Parma Calcio 1913,Serie A,€84.25m,€153.30m,82.0 %,,,
15.0,,FC Empoli,Serie B,€15.10m,€96.10m,536.4 %,,,
16.0,,Hellas Verona,Serie C - A,€6.30m,€86.45m,1272.2 %,,,
17.0,,AC Monza,Serie C - A,€3.63m,€84.73m,2237.2 %,,,
18.0,,Cagliari Calcio,Serie A,€65.25m,€78.90m,20.9 %,,,
19.0,,US Lecce,Serie A,€29.70m,€77.08m,159.5 %,,,
20.0,,Venezia FC,,€250k,€76.50m,30500.0 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€2.06bn,€5.14bn,149.7 %
