#,wappen,Club,Club.1,League,"Value Mar 15, 2022",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Bayern Munich,Bundesliga,€815.25m,€859.00m,5.4 %,,,
2.0,,Bayer 04 Leverkusen,Bundesliga,€417.45m,€644.05m,54.3 %,,,
3.0,,RB Leipzig,Bundesliga,€454.00m,€510.75m,12.5 %,,,
4.0,,Borussia Dortmund,Bundesliga,€576.30m,€436.40m,-24.3 %,,,
5.0,,VfB Stuttgart,Bundesliga,€182.10m,€330.23m,81.3 %,,,
6.0,,Eintracht Frankfurt,Bundesliga,€199.80m,€323.05m,61.7 %,,,
7.0,,VfL Wolfsburg,Bundesliga,€254.40m,€252.00m,-0.9 %,,,
8.0,,TSG 1899 Hoffenheim,Bundesliga,€197.45m,€172.75m,-12.5 %,,,
9.0,,SC Freiburg,Bundesliga,€146.75m,€165.85m,13.0 %,,,
10.0,,1.FSV Mainz 05,Bundesliga,€122.05m,€152.60m,25.0 %,,,
11.0,,Borussia Mönchengladbach,Bundesliga,€237.30m,€147.40m,-37.9 %,,,
12.0,,SV Werder Bremen,2. Bundesliga,€39.35m,€126.15m,220.6 %,,,
13.0,,FC Augsburg,Bundesliga,€98.80m,€119.13m,20.6 %,,,
14.0,,1.FC Union Berlin,Bundesliga,€71.60m,€113.18m,58.1 %,,,
15.0,,1.FC Heidenheim 1846,2. Bundesliga,€17.70m,€66.78m,277.3 %,,,
16.0,,FC St. Pauli,2. Bundesliga,€25.25m,€61.03m,141.7 %,,,
17.0,,VfL Bochum,Bundesliga,€41.85m,€59.45m,42.1 %,,,
18.0,,Holstein Kiel,2. Bundesliga,€16.20m,€46.63m,187.8 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€3.91bn,€4.59bn,17.2 %
