#,wappen,Club,Club.1,League,"Value Mar 15, 2012",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Manchester City,Premier League,€467.00m,€1.31bn,179.5 %,,,
2.0,,Arsenal FC,Premier League,€299.25m,€1.13bn,276.6 %,,,
3.0,,Liverpool FC,Premier League,€235.00m,€993.50m,322.8 %,,,
4.0,,Chelsea FC,Premier League,€381.00m,€922.00m,142.0 %,,,
5.0,,Tottenham Hotspur,Premier League,€269.50m,€836.10m,210.2 %,,,
6.0,,Manchester United,Premier League,€415.00m,€699.25m,68.5 %,,,
7.0,,Newcastle United,Premier League,€135.25m,€635.00m,369.5 %,,,
8.0,,Aston Villa,Premier League,€129.25m,€627.50m,385.5 %,,,
9.0,,Brighton & Hove Albion,Championship,€17.83m,€555.60m,3017.0 %,,,
10.0,,West Ham United,Championship,€61.08m,€454.30m,643.8 %,,,
11.0,,Nottingham Forest,Championship,€26.23m,€447.18m,1605.1 %,,,
12.0,,Crystal Palace,Championship,€20.80m,€441.00m,2020.2 %,,,
13.0,,AFC Bournemouth,League One,€3.93m,€435.35m,10991.7 %,,,
14.0,,Brentford FC,League One,€5.10m,€417.10m,8078.4 %,,,
15.0,,Wolverhampton Wanderers,Premier League,€79.25m,€408.80m,415.8 %,,,
16.0,,Everton FC,Premier League,€147.00m,€365.10m,148.4 %,,,
17.0,,Fulham FC,Premier League,€101.00m,€362.00m,258.4 %,,,
18.0,,Ipswich Town,Championship,€17.85m,€279.60m,1466.4 %,,,
19.0,,Southampton FC,Championship,€27.78m,€273.60m,885.1 %,,,
20.0,,Leicester City,Championship,€36.10m,€273.30m,657.1 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€2.88bn,€11.86bn,312.4 %
