#,wappen,Club,Club.1,League,"Value Mar 15, 2015",Current value,%,Unnamed: 8,Unnamed: 9
1.0,,Manchester City,Premier League,€418.25m,€1.31bn,212.1 %,,,
2.0,,Arsenal FC,Premier League,€388.75m,€1.13bn,189.9 %,,,
3.0,,Liverpool FC,Premier League,€310.75m,€993.50m,219.7 %,,,
4.0,,Chelsea FC,Premier League,€483.50m,€922.00m,90.7 %,,,
5.0,,Tottenham Hotspur,Premier League,€262.75m,€836.10m,218.2 %,,,
6.0,,Manchester United,Premier League,€425.00m,€699.25m,64.5 %,,,
7.0,,Newcastle United,Premier League,€122.00m,€635.00m,420.5 %,,,
8.0,,Aston Villa,Premier League,€105.50m,€627.50m,494.8 %,,,
9.0,,Brighton & Hove Albion,Championship,€20.30m,€555.60m,2636.9 %,,,
10.0,,West Ham United,Premier League,€119.25m,€454.30m,281.0 %,,,
11.0,,Nottingham Forest,Championship,€39.25m,€447.18m,1039.3 %,,,
12.0,,Crystal Palace,Premier League,€84.75m,€441.00m,420.4 %,,,
13.0,,AFC Bournemouth,Championship,€22.33m,€435.35m,1850.1 %,,,
14.0,,Brentford FC,Championship,€18.25m,€417.10m,2185.5 %,,,
15.0,,Wolverhampton Wanderers,Championship,€23.20m,€408.80m,1662.1 %,,,
16.0,,Everton FC,Premier League,€179.25m,€365.10m,103.7 %,,,
17.0,,Fulham FC,Championship,€37.50m,€362.00m,865.3 %,,,
18.0,,Ipswich Town,Championship,€22.15m,€279.60m,1162.3 %,,,
19.0,,Southampton FC,Premier League,€189.50m,€273.60m,44.4 %,,,
20.0,,Leicester City,Premier League,€59.25m,€273.30m,361.3 %,,,
,,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,Total value of all clubs:,,€3.33bn,€11.86bn,256.0 %
